agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/idrinth	
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_weapon_kurnous_blessed_hunting_bow
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_weapon_khaines_thirsting_sword
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_weapon_asuryans_perfection_sword
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_talisman_stone_of_dried_blood
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_talisman_talisman_of_souls
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_talisman_forest_berry_wine
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_armour_khaines_visage
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_armour_asuryans_destiny
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_anc_armour_kurnous_forest_cloak
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_weapon_kurnous_blessed_hunting_bow
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_weapon_khaines_thirsting_sword
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_weapon_asuryans_perfection_sword
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_talisman_stone_of_dried_blood
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_talisman_talisman_of_souls
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_talisman_forest_berry_wine
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_armour_khaines_visage
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_armour_asuryans_destiny
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_anc_armour_kurnous_forest_cloak
