ancillary_key	set_key
#ancillary_set_ancillary_junctions_tables;0;db/ancillary_set_ancillary_junctions_tables/idrinth	
idrinth_anc_talisman_stone_of_dried_blood	anc_set_exclusive_idrinth_khaine
idrinth_anc_talisman_talisman_of_souls	anc_set_exclusive_idrinth_asuryan
idrinth_anc_talisman_forest_berry_wine	anc_set_exclusive_idrinth_kurnous
idrinth_anc_weapon_kurnous_blessed_hunting_bow	anc_set_exclusive_idrinth_kurnous
idrinth_anc_armour_khaines_visage	anc_set_exclusive_idrinth_khaine
idrinth_anc_weapon_khaines_thirsting_sword	anc_set_exclusive_idrinth_khaine
idrinth_anc_weapon_asuryans_perfection_sword	anc_set_exclusive_idrinth_asuryan
idrinth_anc_armour_kurnous_forest_cloak	anc_set_exclusive_idrinth_kurnous
idrinth_anc_armour_asuryans_destiny	anc_set_exclusive_idrinth_asuryan
