ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/idrinth			
idrinth_anc_talisman_stone_of_dried_blood	idrinth_pooled_resource_khaine	character_to_faction	5.0000
idrinth_anc_talisman_talisman_of_souls	idrinth_pooled_resource_asuryan	character_to_faction	5.0000
idrinth_anc_talisman_forest_berry_wine	idrinth_pooled_resource_kurnous	character_to_faction	5.0000
idrinth_anc_weapon_kurnous_blessed_hunting_bow	idrinth_pooled_resource_kurnous	character_to_faction	5.0000
idrinth_anc_armour_khaines_visage	idrinth_pooled_resource_khaine	character_to_faction	5.0000
idrinth_anc_weapon_khaines_thirsting_sword	idrinth_pooled_resource_khaine	character_to_faction	5.0000
idrinth_anc_weapon_asuryans_perfection_sword	idrinth_pooled_resource_asuryan	character_to_faction	5.0000
idrinth_anc_armour_kurnous_forest_cloak	idrinth_pooled_resource_kurnous	character_to_faction	5.0000
idrinth_anc_armour_asuryans_destiny	idrinth_pooled_resource_asuryan	character_to_faction	5.0000
idrinth_anc_talisman_stone_of_dried_blood	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	20.0000
idrinth_anc_talisman_talisman_of_souls	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0000
idrinth_anc_talisman_forest_berry_wine	wh_main_effect_character_stat_leadership	character_to_character_own	15.0000
idrinth_anc_weapon_kurnous_blessed_hunting_bow	wh_main_effect_character_stat_ap_missile_damage	character_to_character_own	10.0000
idrinth_anc_armour_khaines_visage	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
idrinth_anc_weapon_khaines_thirsting_sword	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	20.0000
idrinth_anc_weapon_asuryans_perfection_sword	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
idrinth_anc_armour_kurnous_forest_cloak	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
idrinth_anc_armour_asuryans_destiny	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
idrinth_anc_talisman_stone_of_dried_blood	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	15.0000
idrinth_anc_talisman_talisman_of_souls	wh_main_effect_character_stat_melee_defence	character_to_character_own	5.0000
idrinth_anc_talisman_forest_berry_wine	wh_main_effect_character_stat_speed	character_to_character_own	5.0000
idrinth_anc_weapon_kurnous_blessed_hunting_bow	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	20.0000
idrinth_anc_armour_khaines_visage	wh_main_effect_character_stat_ap_damage	character_to_character_own	10.0000
idrinth_anc_weapon_khaines_thirsting_sword	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	20.0000
idrinth_anc_weapon_asuryans_perfection_sword	wh_main_effect_character_stat_missile_block	character_to_character_own	10.0000
idrinth_anc_armour_kurnous_forest_cloak	wh_main_effect_character_stat_missile_damage	character_to_character_own	10.0000
idrinth_anc_armour_asuryans_destiny	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0000
