chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/idrinth			
idrinth_hev_high_elf_vampires_artisan_quarters	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_altar	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_diplomacy	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_tavern	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_beasts	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_library	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel	idrinth_slot_set_chapel	false
idrinth_hev_high_elf_vampires_horde	idrinth_hev_high_elf_vampires_horde	idrinth_slot_set_horde	false
idrinth_hev_high_elf_vampires_horde_healer_wagon	idrinth_hev_high_elf_vampires_horde	idrinth_slot_set_horde	false
idrinth_hev_high_elf_vampires_horde_quartermaster	idrinth_hev_high_elf_vampires_horde	idrinth_slot_set_horde	false
idrinth_hev_high_elf_vampires_horde_trader	idrinth_hev_high_elf_vampires_horde	idrinth_slot_set_horde	false
