building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/idrinth									
idrinth_hev_high_elf_vampires_chapel_0				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_0	true	
idrinth_hev_high_elf_vampires_chapel_1_asuryan				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_1_asuryan	true	
idrinth_hev_high_elf_vampires_chapel_1_kurnous				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_1_kurnous	true	
idrinth_hev_high_elf_vampires_chapel_1_khaine				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_1_khaine	true	
idrinth_hev_high_elf_vampires_chapel_2_asuryan				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_2_asuryan	true	
idrinth_hev_high_elf_vampires_chapel_2_kurnous				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_2_kurnous	true	
idrinth_hev_high_elf_vampires_chapel_2_khaine				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel	false	idrinth_hev_high_elf_vampires_chapel_2_khaine	true	
idrinth_hev_high_elf_vampires_chapel_0_beasts				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel_beasts	false	idrinth_hev_high_elf_vampires_chapel_0_beasts	true	
idrinth_hev_high_elf_vampires_chapel_1_beasts				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel_beasts	false	idrinth_hev_high_elf_vampires_chapel_1_beasts	true	
idrinth_hev_high_elf_vampires_chapel_2_beasts				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel_beasts	false	idrinth_hev_high_elf_vampires_chapel_2_beasts	true	
idrinth_hev_high_elf_vampires_chapel_1_diplomacy				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel_diplomacy	false	idrinth_hev_high_elf_vampires_chapel_1_diplomacy	true	
idrinth_hev_high_elf_vampires_chapel_2_diplomacy				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel_diplomacy	false	idrinth_hev_high_elf_vampires_chapel_2_diplomacy	true	
idrinth_hev_high_elf_vampires_chapel_2_altar				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_chapel_altar	false	idrinth_hev_high_elf_vampires_chapel_2_altar	true	
idrinth_hev_high_elf_vampires_horde_0				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde	false	idrinth_hev_high_elf_vampires_horde_0	true	
idrinth_hev_high_elf_vampires_horde_healer_wagon_0				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_healer_wagon	false	idrinth_hev_high_elf_vampires_horde_healer_wagon_0	true	
idrinth_hev_high_elf_vampires_horde_quartermaster_0				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_quartermaster	false	idrinth_hev_high_elf_vampires_horde_quartermaster_0	true	
idrinth_hev_high_elf_vampires_horde_trader_0				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_trader	false	idrinth_hev_high_elf_vampires_horde_trader_0	true	
idrinth_hev_high_elf_vampires_horde_1				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde	false	idrinth_hev_high_elf_vampires_horde_1	true	
idrinth_hev_high_elf_vampires_horde_healer_wagon_1				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_healer_wagon	false	idrinth_hev_high_elf_vampires_horde_healer_wagon_1	true	
idrinth_hev_high_elf_vampires_horde_quartermaster_1				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_quartermaster	false	idrinth_hev_high_elf_vampires_horde_quartermaster_1	true	
idrinth_hev_high_elf_vampires_horde_trader_1				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_trader	false	idrinth_hev_high_elf_vampires_horde_trader_1	true	
idrinth_hev_high_elf_vampires_horde_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde	false	idrinth_hev_high_elf_vampires_horde_2	true	
idrinth_hev_high_elf_vampires_horde_healer_wagon_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_healer_wagon	false	idrinth_hev_high_elf_vampires_horde_healer_wagon_2	true	
idrinth_hev_high_elf_vampires_horde_quartermaster_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_quartermaster	false	idrinth_hev_high_elf_vampires_horde_quartermaster_2	true	
idrinth_hev_high_elf_vampires_horde_trader_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_horde_trader	false	idrinth_hev_high_elf_vampires_horde_trader_2	true	
idrinth_hev_high_elf_vampires_artisan_quarters_1				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_artisan_quarters	false	idrinth_hev_high_elf_vampires_artisan_quarters_1	true	
idrinth_hev_high_elf_vampires_artisan_quarters_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_artisan_quarters	false	idrinth_hev_high_elf_vampires_artisan_quarters_2	true	
idrinth_hev_high_elf_vampires_tavern_0				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_tavern	false	idrinth_hev_high_elf_vampires_tavern_0	true	
idrinth_hev_high_elf_vampires_tavern_1				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_tavern	false	idrinth_hev_high_elf_vampires_tavern_1	true	
idrinth_hev_high_elf_vampires_tavern_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_tavern	false	idrinth_hev_high_elf_vampires_tavern_2	true	
idrinth_hev_high_elf_vampires_library_2				wh_main_PLACEHOLDER	idrinth_hev_high_elf_vampires_library	false	idrinth_hev_high_elf_vampires_library_2	true	
