building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/idrinth						
idrinth_hev_high_elf_vampires_chapel_0	wh_main_effect_public_order_faction		region_to_region_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	2.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-2.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	1.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	1.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	1.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	wh_main_effect_public_order_faction		region_to_region_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	5.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-3.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_pooled_resource_asuryan		region_to_faction_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh_main_effect_public_order_faction		region_to_region_own	3.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	3.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-5.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh_main_effect_public_order_faction		region_to_region_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	3.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-5.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_pooled_resource_kurnous		region_to_faction_own	4.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_pooled_resource_khaine		region_to_faction_own	4.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	idrinth_pooled_resource_asuryan		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	idrinth_pooled_resource_kurnous		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	idrinth_pooled_resource_khaine		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	idrinth_chapel_asuryan_ward_save		region_to_force_own_provincewide	50.0000	25.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	idrinth_chapel_kurnous_range		region_to_force_own_provincewide	5.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0	idrinth_chapel_khaine_charge		region_to_force_own_provincewide	10.0000	4.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_chapel_asuryan_ward_save		region_to_force_own_provincewide	200.0000	50.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_chapel_kurnous_range		region_to_force_own_provincewide	20.0000	4.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_chapel_khaine_charge		region_to_force_own_provincewide	50.0000	10.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	5.0000	-7.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	3.0000	-3.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	5.0000	-7.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh_main_effect_public_order_faction		region_to_region_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	3.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-5.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_pooled_resource_asuryan		region_to_faction_own	4.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	wh_main_effect_public_order_faction		region_to_region_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	5.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_kurnous	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-3.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	wh_main_effect_public_order_faction		region_to_region_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh3_main_effect_corruption_vampiric_buildings		region_to_region_own	5.0000	2.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	wh3_main_effect_corruption_reduction_buildings		region_to_region_own	-3.0000	-1.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_pooled_resource_kurnous		region_to_faction_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_pooled_resource_khaine		region_to_faction_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_chapel_asuryan_ward_save		region_to_force_own_provincewide	250.0000	62.5000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_chapel_kurnous_range		region_to_force_own_provincewide	25.0000	5.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_chapel_khaine_charge		region_to_force_own_provincewide	40.0000	8.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_khaine	wh2_main_faction_political_diplomacy_mod_dark_elves		region_to_faction_own	3.0000	-3.0000	0.0000
