id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/idrinth		
123210324	idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel_mixed
123210325	idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan
123210326	idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous
123210327	idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_hev_high_elf_vampires_chapel_khaine
123210328	idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
123210329	idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
123210330	idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_hev_high_elf_vampires_chapel_khaine_leader
123210331	idrinth_hev_high_elf_vampires_chapel_0_beasts	idrinth_hev_high_elf_vampires_chapel_beast_small
123210332	idrinth_hev_high_elf_vampires_chapel_1_beasts	idrinth_hev_high_elf_vampires_chapel_beast_medium
123210333	idrinth_hev_high_elf_vampires_chapel_2_beasts	idrinth_hev_high_elf_vampires_chapel_beast_large
123210334	idrinth_hev_high_elf_vampires_chapel_2_altar	idrinth_hev_high_elf_vampires_chapel_altar
123210335	idrinth_hev_high_elf_vampires_tavern_0	idrinth_hev_high_elf_vampires_chapel_outriders_small
123210336	idrinth_hev_high_elf_vampires_tavern_1	idrinth_hev_high_elf_vampires_chapel_outriders_medium
123210338	idrinth_hev_high_elf_vampires_tavern_2	idrinth_hev_high_elf_vampires_chapel_outriders_large
123210341	idrinth_hev_high_elf_vampires_library_2	idrinth_hev_high_elf_vampires_chapel_stone_wolves
