building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/idrinth			
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_0	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_1_asuryan	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_1_kurnous	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_1_khaine	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_2_asuryan	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_2_kurnous	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_chapel	idrinth_hev_high_elf_vampires_chapel_2_khaine	idrinth_hev_high_elf_vampires_chapel	false
idrinth_hev_high_elf_vampires_beasts	idrinth_hev_high_elf_vampires_chapel_0_beasts	idrinth_hev_high_elf_vampires_chapel_beast	false
idrinth_hev_high_elf_vampires_beasts	idrinth_hev_high_elf_vampires_chapel_1_beasts	idrinth_hev_high_elf_vampires_chapel_beast	false
idrinth_hev_high_elf_vampires_beasts	idrinth_hev_high_elf_vampires_chapel_2_beasts	idrinth_hev_high_elf_vampires_chapel_beast	false
idrinth_hev_high_elf_vampires_diplomacy	idrinth_hev_high_elf_vampires_chapel_1_diplomacy	idrinth_hev_high_elf_vampires_chapel_diplomacy	false
idrinth_hev_high_elf_vampires_diplomacy	idrinth_hev_high_elf_vampires_chapel_2_diplomacy	idrinth_hev_high_elf_vampires_chapel_diplomacy	false
idrinth_hev_high_elf_vampires_altar	idrinth_hev_high_elf_vampires_chapel_2_altar	idrinth_hev_high_elf_vampires_chapel_altar	false
