member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/idrinth		
idrinth_hev_high_elf_vampires_idrinth	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_khaine_low	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_khaine_high	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_prayers	ORIGINATOR	*
idrinth_hev_high_elf_vampires_idrinth_devotion	ORIGINATOR	*
