id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/idrinth		
idrinth_hev_high_elf_vampires_idrinth	idrinth_hev_high_elf_vampires_idrinth	1.0000
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	1.0000
idrinth_hev_high_elf_vampires_idrinth_khaine_low	idrinth_hev_high_elf_vampires_idrinth_khaine_low	1.0000
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_hev_high_elf_vampires_idrinth_khaine_medium	1.0000
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_hev_high_elf_vampires_idrinth_khaine_high	1.0000
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	1.0000
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	1.0000
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	idrinth_hev_high_elf_vampires_idrinth_kurnous_low	1.0000
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	1.0000
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_hev_high_elf_vampires_idrinth_kurnous_high	1.0000
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	1.0000
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	1.0000
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	idrinth_hev_high_elf_vampires_idrinth_asuryan_low	1.0000
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	1.0000
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_hev_high_elf_vampires_idrinth_asuryan_high	1.0000
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	1.0000
idrinth_hev_high_elf_vampires_idrinth_prayers	idrinth_hev_high_elf_vampires_idrinth_prayers	1.0000
idrinth_hev_high_elf_vampires_idrinth_devotion	idrinth_hev_high_elf_vampires_idrinth_devotion	1.0000
idrinth_hev_high_elf_vampires_idrinth_general	idrinth_hev_high_elf_vampires_idrinth_general	1.0000
