stance	culture	subculture	faction	force_type	effect_bundle	resource_cost
#campaign_stance_effects_junctions_tables;1;db/campaign_stance_effects_junctions_tables/idrinth						
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_ambush	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_mustering	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_channelling	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_default	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DISEMBARK				IDRINTH_HORDE_MAIN	wh3_dlc27_disembark_stance_hef_aislinn	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_navy_double_time	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_raiding	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_forced_march	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_mustering	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL				IDRINTH_HORDE_MAIN	wh3_dlc27_dragonship_expansion_stance	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_navy_raiding	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_settlement_horde	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_fortification	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_raiding_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING				IDRINTH_HORDE_MAIN	wh2_main_bundle_stance_army_stalking	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING				IDRINTH_HORDE_MAIN	wh_dlc05_bundle_stance_army_tunnelling_wood_elves	
MILITARY_FORCE_SITUATIONAL_STANCE_BLOCKADE				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_navy_blockading	
MILITARY_FORCE_SITUATIONAL_STANCE_DOCK				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_navy_docked	
MILITARY_FORCE_SITUATIONAL_STANCE_GARRISON				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_garrisoned	
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE				IDRINTH_HORDE_MAIN	wh_main_bundle_stance_army_laying_siege	
