id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/idrinth				
9999999901	idrinth_unlock_wh2_main_hef_high_elves	VAR_OBJECTIVE_AMOUNT_INT	3000	default
9999999902	idrinth_unlock_wh_main_vmp_vampire_counts	VAR_OBJECTIVE_AMOUNT_INT	6500	default
9999999903	idrinth_unlock_wh_main_emp_empire	VAR_OBJECTIVE_AMOUNT_INT	4500	default
9999999904	idrinth_unlock_wh_dlc05_wef_wood_elves	VAR_OBJECTIVE_AMOUNT_INT	3500	default
9999999905	idrinth_unlock_wh3_main_ksl_kislev	VAR_OBJECTIVE_AMOUNT_INT	4000	default
9999999906	idrinth_unlock_wh2_main_def_dark_elves	VAR_OBJECTIVE_AMOUNT_INT	6000	default
9999999907	idrinth_unlock_mixer_nag_nagash	VAR_OBJECTIVE_AMOUNT_INT	7500	default
9999999908	idrinth_unlock_wh2_dlc11_cst_vampire_coast	VAR_OBJECTIVE_AMOUNT_INT	7000	default
9999999909	idrinth_unlock_wh_main_brt_bretonnia	VAR_OBJECTIVE_AMOUNT_INT	5500	default
9999999910	idrinth_unlock_wh3_main_cth_cathay	VAR_OBJECTIVE_AMOUNT_INT	5000	default
