campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/idrinth						
		1	idrinth_campaign_actions_dummy		x	0
		1	idrinth_wh2_main_skill_all_hero_assist_army_training		x	0
		1	idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		x	0
		1	idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		x	0
		1	idrinth_wh2_main_skill_all_hero_reduce_action_cost		x	0
		1	idrinth_wh2_main_skill_hef_combat_valour_of_ages		x	0
		1	idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		x	0
		1	idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		x	0
		1	idrinth_wh2_main_skill_hef_generic_warding_of_loec		x	0
		1	idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		x	10
		1	idrinth_wh_main_skill_all_all_self_blade_master		x	0
		1	idrinth_wh_main_skill_all_all_self_hard_to_hit		x	0
		1	idrinth_wh_main_skill_all_dignitary_self_conviction		x	0
		1	idrinth_wh_main_skill_all_dignitary_self_fervour		x	0
		1	idrinth_wh_main_skill_all_dignitary_self_inviolable_2		x	0
		1	idrinth_wh_main_skill_all_dignitary_self_tenacity_2		x	0
		1	idrinth_wh_main_skill_all_magic_all_06_evasion		x	0
		1	idrinth_wh_main_skill_all_magic_all_07_earthing		x	0
		1	idrinth_wh_main_skill_all_magic_all_08_power_drain		x	0
		1	idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		x	10
		1	idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		x	10
		1	idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		x	0
		1	idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		x	0
		1	idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		x	0
		1	idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		x	0
		1	idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		x	0
		2	idrinth_wh2_main_skill_all_hero_assist_army_training		x	3
		2	idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		x	3
		2	idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		x	3
		2	idrinth_wh2_main_skill_all_hero_reduce_action_cost		x	3
