set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/idrinth		
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_1_1	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_campaign_04	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_campaign_05	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_combat_1_2	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_combat_1_3	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_generic_1	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_generic_2	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_hef_noble_generic_3	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_main_skill_node_vmp_wight_king_campaign_01	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh3_main_agent_action_scaling	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_dignitary_self_04	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_dignitary_self_06	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_dignitary_self_07	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_dignitary_self_09	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_dignitary_self_10	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_campaign_06	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_01	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_03	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_04	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_06	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_07	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_08	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_09	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_10	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_node_vmp_necromancer_magic1_11	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_campaign_actions_dummy	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh2_dlc10_skill_node_def_supreme_sorceress_shadow_innate_7	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_all_magic_death_04_soulblight	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_main_skill_all_magic_death_01_spirit_leech	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_magic_shadow_the_withering	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_high_elves	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_wood_elves	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_dark_elves	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_vampire_coast	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_vampire_counts	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_bretonnia	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_norsca	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_kislev	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_cathay	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_empire	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_lizardmen	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_diplomat_dwarves	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_loremaster_lore_of_vampires	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_loremaster_lore_of_shadows	false
idrinth_hev_high_elf_vampires_idrinth	idrinth_loremaster_lore_of_death	false
