key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/idrinth									
idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_1_1		idrinth_wh2_main_skill_hef_combat_valour_of_ages		0	0		0	0	true
idrinth_wh2_dlc10_skill_node_hef_handmaiden_combat_4		idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		2	6		0	0	true
idrinth_wh2_main_skill_node_hef_noble_campaign_04		idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		3	2		0	0	true
idrinth_wh2_main_skill_node_hef_noble_campaign_05		idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		3	3		0	0	true
idrinth_wh2_main_skill_node_hef_noble_combat_1_2		idrinth_wh_main_skill_all_all_self_hard_to_hit		2	3		0	0	true
idrinth_wh2_main_skill_node_hef_noble_combat_1_3		idrinth_wh_main_skill_all_all_self_blade_master		2	2		0	0	true
idrinth_wh2_main_skill_node_hef_noble_generic_1		idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		0	5		0	0	true
idrinth_wh2_main_skill_node_hef_noble_generic_2		idrinth_wh2_main_skill_hef_generic_warding_of_loec		0	3		0	0	true
idrinth_wh2_main_skill_node_hef_noble_generic_3		idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		0	2		0	0	true
idrinth_wh2_main_skill_node_vmp_wight_king_campaign_01		idrinth_wh2_main_skill_all_hero_assist_army_training		3	5		0	0	true
idrinth_wh3_main_agent_action_scaling		wh3_main_skill_agent_action_success_scaling		99	0		0	0	false
idrinth_wh_main_skill_node_vmp_dignitary_self_04		idrinth_wh_main_skill_all_dignitary_self_conviction		2	0		0	0	true
idrinth_wh_main_skill_node_vmp_dignitary_self_06		idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		2	5		0	0	true
idrinth_wh_main_skill_node_vmp_dignitary_self_07		idrinth_wh_main_skill_all_dignitary_self_tenacity_2		2	9		0	0	true
idrinth_wh_main_skill_node_vmp_dignitary_self_09		idrinth_wh_main_skill_all_dignitary_self_inviolable_2		2	8		0	0	true
idrinth_wh_main_skill_node_vmp_dignitary_self_10		idrinth_wh_main_skill_all_dignitary_self_fervour		2	11		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_campaign_06		idrinth_wh2_main_skill_all_hero_reduce_action_cost		3	0		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_01		idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		4	0		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_03		idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		4	2		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_04		idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		4	3		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_06		idrinth_wh_main_skill_all_magic_all_06_evasion		1	2		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_07		idrinth_wh_main_skill_all_magic_all_07_earthing		1	3		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_08		idrinth_wh_main_skill_all_magic_all_08_power_drain		1	5		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_09		idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		4	4		0	0	true
idrinth_wh_main_skill_node_vmp_necromancer_magic1_10		idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		4	6		0	0	true
