character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/idrinth		
idrinth_wh3_main_agent_scaling	2	1
idrinth_wh3_main_agent_scaling	3	2
idrinth_wh3_main_agent_scaling	4	3
idrinth_wh3_main_agent_scaling	5	4
idrinth_wh3_main_agent_scaling	6	5
idrinth_wh3_main_agent_scaling	7	6
idrinth_wh3_main_agent_scaling	8	7
idrinth_wh3_main_agent_scaling	9	8
idrinth_wh3_main_agent_scaling	10	9
idrinth_wh3_main_agent_scaling	11	10
idrinth_wh3_main_agent_scaling	12	11
idrinth_wh3_main_agent_scaling	13	12
idrinth_wh3_main_agent_scaling	14	13
idrinth_wh3_main_agent_scaling	15	14
idrinth_wh3_main_agent_scaling	16	15
idrinth_wh3_main_agent_scaling	17	16
idrinth_wh3_main_agent_scaling	18	17
idrinth_wh3_main_agent_scaling	19	18
idrinth_wh3_main_agent_scaling	20	19
idrinth_wh3_main_agent_scaling	21	20
idrinth_wh3_main_agent_scaling	22	21
idrinth_wh3_main_agent_scaling	23	22
idrinth_wh3_main_agent_scaling	24	23
idrinth_wh3_main_agent_scaling	25	24
idrinth_wh3_main_agent_scaling	26	25
idrinth_wh3_main_agent_scaling	27	26
idrinth_wh3_main_agent_scaling	28	27
idrinth_wh3_main_agent_scaling	29	28
idrinth_wh3_main_agent_scaling	30	29
idrinth_wh3_main_agent_scaling	31	30
idrinth_wh3_main_agent_scaling	32	31
idrinth_wh3_main_agent_scaling	33	32
idrinth_wh3_main_agent_scaling	34	33
idrinth_wh3_main_agent_scaling	35	34
idrinth_wh3_main_agent_scaling	36	35
idrinth_wh3_main_agent_scaling	37	36
idrinth_wh3_main_agent_scaling	38	37
idrinth_wh3_main_agent_scaling	39	38
idrinth_wh3_main_agent_scaling	40	39
idrinth_wh3_main_agent_scaling	41	40
idrinth_wh3_main_agent_scaling	42	41
idrinth_wh3_main_agent_scaling	43	42
idrinth_wh3_main_agent_scaling	44	43
idrinth_wh3_main_agent_scaling	45	44
idrinth_wh3_main_agent_scaling	46	45
idrinth_wh3_main_agent_scaling	47	46
idrinth_wh3_main_agent_scaling	48	47
idrinth_wh3_main_agent_scaling	49	48
idrinth_wh3_main_agent_scaling	50	49
