key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/idrinth			
idrinth_elf_slayer_khaine_hated	3	idrinth_slayer_elves_khaine	550
idrinth_elf_slayer_khaine_despised	2	idrinth_slayer_elves_khaine	175
idrinth_elf_slayer_khaine_known	1	idrinth_slayer_elves_khaine	50
idrinth_elf_slayer_kurnous_hated	3	idrinth_slayer_elves_kurnous	550
idrinth_elf_slayer_kurnous_despised	2	idrinth_slayer_elves_kurnous	175
idrinth_elf_slayer_kurnous_known	1	idrinth_slayer_elves_kurnous	50
idrinth_elf_slayer_asuryan_hated	3	idrinth_slayer_elves_asuryan	550
idrinth_elf_slayer_asuryan_despised	2	idrinth_slayer_elves_asuryan	175
idrinth_elf_slayer_asuryan_known	1	idrinth_slayer_elves_asuryan	50
idrinth_killer	1	idrinth_killer	1
