key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/idrinth										
idrinth_unlock_choice	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_high_elves	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_wood_elves	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_kislev	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_empire	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_vampire_counts	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_dwarves	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_weapon	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_armour	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_talisman	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_mode_choice	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_high_elves	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_wood_elves	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_kislev	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_empire	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_vampire_counts	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_levelMinimum_choice	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_chapels_choice	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_choice	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_drakenhof	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_temple_of_khaine	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_shrine_of_khaine	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_temple_of_asuryan	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_temple_of_kurnous	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_shrine_of_loec	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_hel_fenn	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_black_pyramid	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_vauls_anvil_ulthuan	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_vauls_anvil_naggaroth	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_vauls_anvil_loren	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_tower_of_hoeth	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_blood_keep	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_oak_of_ages	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_the_galleons_graveyard	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_sartosa	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_lahmia	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_story_dilemma_ghrond	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_nagash	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_dark_elves	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_vampire_coast	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_bretonnia	false		Idrinth Thalui	army_morale_up	false	Event				false
idrinth_dilemma_unlock_cathay	false		Idrinth Thalui	army_morale_up	false	Event				false
