bonus_value_id	effect	resource_factor
#effect_bonus_value_pooled_resource_factor_junctions_tables;0;db/effect_bonus_value_pooled_resource_factor_junctions_tables/idrinth		
base_amount	idrinth_pooled_resource_khaine	idrinth_khaine_characters
base_amount	idrinth_pooled_resource_kurnous	idrinth_kurnous_characters
base_amount	idrinth_pooled_resource_asuryan	idrinth_asuryan_characters
base_amount	idrinth_pooled_resource_khaine	idrinth_khaine_battles
base_amount	idrinth_pooled_resource_kurnous	idrinth_kurnous_battles
base_amount	idrinth_pooled_resource_asuryan	idrinth_asuryan_battles
base_amount	idrinth_pooled_resource_khaine	idrinth_khaine_other
base_amount	idrinth_pooled_resource_kurnous	idrinth_kurnous_other
base_amount	idrinth_pooled_resource_asuryan	idrinth_asuryan_other
base_amount	idrinth_pooled_resource_khaine	idrinth_khaine_missions
base_amount	idrinth_pooled_resource_kurnous	idrinth_kurnous_missions
base_amount	idrinth_pooled_resource_asuryan	idrinth_asuryan_missions
base_amount	idrinth_pooled_resource_khaine_good	idrinth_khaine_good
base_amount	idrinth_pooled_resource_kurnous_good	idrinth_kurnous_good
base_amount	idrinth_pooled_resource_asuryan_good	idrinth_asuryan_good
base_amount	idrinth_pooled_resource_khaine_bad	idrinth_khaine_bad
base_amount	idrinth_pooled_resource_kurnous_bad	idrinth_kurnous_bad
base_amount	idrinth_pooled_resource_asuryan_bad	idrinth_asuryan_bad
