bonus_value_id	effect	special_ability_group
#effect_bonus_value_special_ability_group_junctions_tables;0;db/effect_bonus_value_special_ability_group_junctions_tables/idrinth		
cost_percentage_mod	idrinth_loremaster_lore_of_death	wh_main_lore_death
recharge_rate_percentage_mod	idrinth_loremaster_lore_of_death	wh_main_lore_death
miscast_percentage_mod	idrinth_loremaster_lore_of_death	wh_main_lore_death
cost_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_main_lore_vampires
recharge_rate_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_main_lore_vampires
miscast_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_main_lore_vampires
cost_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_dlc05_lore_shadows
recharge_rate_percentage_mod	idrinth_loremaster_lore_of_shadows	wh_dlc05_lore_shadows
miscast_percentage_mod	idrinth_loremaster_lore_of_death	wh_dlc05_lore_shadows
cost_percentage_mod	idrinth_loremaster_lore_of_death	wh_main_lore_death_upgraded
recharge_rate_percentage_mod	idrinth_loremaster_lore_of_death	wh_main_lore_death_upgraded
miscast_percentage_mod	idrinth_loremaster_lore_of_death	wh_main_lore_death_upgraded
cost_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_main_lore_vampires_upgraded
recharge_rate_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_main_lore_vampires_upgraded
miscast_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_main_lore_vampires_upgraded
cost_percentage_mod	idrinth_loremaster_lore_of_vampires	wh_dlc05_lore_shadows_upgraded
recharge_rate_percentage_mod	idrinth_loremaster_lore_of_shadows	wh_dlc05_lore_shadows_upgraded
miscast_percentage_mod	idrinth_loremaster_lore_of_death	wh_dlc05_lore_shadows_upgraded
