bonus_value_id	effect	unit_record_key
#effect_bonus_value_unit_record_junctions_tables;0;db/effect_bonus_value_unit_record_junctions_tables/idrinth		
unit_cap	idrinth_unit_capacity_chapel_mixed_elven_guard	idrinth_hev_high_elf_vampires_chapel_mixed
unit_cap	idrinth_unit_capacity_chapel_asuryan_guard	idrinth_hev_high_elf_vampires_chapel_asuryan
unit_cap	idrinth_unit_capacity_chapel_khaine_guard	idrinth_hev_high_elf_vampires_chapel_khaine
unit_cap	idrinth_unit_capacity_chapel_kurnous_guard	idrinth_hev_high_elf_vampires_chapel_kurnous
unit_cap	idrinth_unit_capacity_chapel_asuryan_priest	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
unit_cap	idrinth_unit_capacity_chapel_khaine_priest	idrinth_hev_high_elf_vampires_chapel_khaine_leader
unit_cap	idrinth_unit_capacity_chapel_kurnous_priest	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
unit_cap	idrinth_unit_capacity_chapel_asuryan_vampire_priest	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
unit_cap	idrinth_unit_capacity_chapel_khaine_vampire_priest	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
unit_cap	idrinth_unit_capacity_chapel_kurnous_vampire_priest	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
unit_cap	idrinth_unit_capacity_chapel_asuryan_varghulf	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
unit_cap	idrinth_unit_capacity_chapel_khaine_varghulf	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
unit_cap	idrinth_unit_capacity_chapel_kurnous_varghulf	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
unit_cap	idrinth_unit_capacity_chapel_shrine	idrinth_hev_high_elf_vampires_chapel_shrine
unit_cap	idrinth_unit_capacity_chapel_stone_wolves	idrinth_hev_high_elf_vampires_chapel_stone_wolves
unit_cap	idrinth_unit_capacity_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders
upkeep_mod	idrinth_unit_upkeep_mod_conditional	idrinth_hev_high_elf_vampires_idrinthchampion
upkeep_mod	idrinth_unit_upkeep_mod_conditional	idrinth_hev_high_elf_vampires_idrinthgeneral
