effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/idrinth				
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	idrinth_effect_character_stat_ap_damage	faction_to_character_own	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_low	idrinth_effect_character_stat_ap_damage	faction_to_character_own	2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_effect_character_stat_ap_damage	faction_to_character_own	4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_effect_character_stat_ap_damage	faction_to_character_own	8.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_effect_character_stat_ap_damage	faction_to_character_own	16.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	idrinth_effect_character_stat_ammunition	faction_to_character_own	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	idrinth_effect_character_stat_ammunition	faction_to_character_own	2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_effect_character_stat_ammunition	faction_to_character_own	4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_effect_character_stat_ammunition	faction_to_character_own	8.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_pooled_resource_khaine	faction_to_faction_own	-4.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	idrinth_effect_character_stat_ward_save	faction_to_character_own	1.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	idrinth_effect_character_stat_ward_save	faction_to_character_own	2.0000	start_turn_completed
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_effect_character_stat_ward_save	faction_to_character_own	4.0000	start_turn_completed
