unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/idrinth																																												
idrinth_hev_high_elf_vampires_idrinth		1	hero	1	false	idrinth_hev_high_elf_vampires_idrinth	1	1	2000	wh_main_shp_transport	1	1	1	2000	400	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_idrinth	4	true	idrinth_hev_high_elf_vampires_idrinth		true		1100.0000	1000.0000	true	vo_culture_None	true	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		0.0000	false	1	false
idrinth_hev_high_elf_vampires_chapel_mixed		-1	missile_infantry	1	false	idrinth_hev_high_elf_vampires_chapel_mixed	50	-1	450	wh_main_shp_transport	1	1	50	450	45	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_guard	2	false			false		600.0000	650.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	2	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_asuryan		-1	missile_infantry	1	false	idrinth_hev_high_elf_vampires_chapel_asuryan	35	-1	800	wh_main_shp_transport	1	1	35	800	80	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_guard	3	false			false		650.0000	700.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	2	false	false		1750.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_kurnous		-1	missile_infantry	1	false	idrinth_hev_high_elf_vampires_chapel_kurnous	35	-1	800	wh_main_shp_transport	1	1	35	800	80	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_guard	3	false			false		650.0000	700.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	2	false	false		1750.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_khaine		-1	missile_infantry	1	false	idrinth_hev_high_elf_vampires_chapel_khaine	35	-1	800	wh_main_shp_transport	1	1	35	800	80	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_guard	3	false			false		650.0000	700.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	2	false	false		1750.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_asuryan_leader		-1	hero	1	false	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	1	2	750	wh_main_shp_transport	1	1	1	750	75	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_priest	4	false			true		800.0000	900.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		250.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_kurnous_leader		-1	hero	1	false	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	1	2	750	wh_main_shp_transport	1	1	1	750	75	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_priest	4	false			true		800.0000	900.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		250.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_khaine_leader		-1	hero	1	false	idrinth_hev_high_elf_vampires_chapel_khaine_leader	1	2	750	wh_main_shp_transport	1	1	1	750	75	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_priest	4	false			true		800.0000	900.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		250.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_shrine		-1	chariot	2	false	idrinth_hev_high_elf_vampires_chapel_shrine	1	1	1000	wh_main_shp_transport	1	1	1	1000	100	super_heavy		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_shrine	4	false			true		1500.0000	500.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		1500.0000	false	1	false
