key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/idrinth																			
idrinth_main_hef_greatsword	0	18	240	180	1.0000	sword	sword	medium	1	1.0000	0.7500	0.0000	true		5	10	4.2000		false
idrinth_hev_high_elf_vampires_chapel_asuryan	28	0	31	11	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	4.2000		false
idrinth_hev_high_elf_vampires_chapel_kurnous	0	0	31	8	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.3000		false
idrinth_hev_high_elf_vampires_chapel_khaine	0	10	31	14	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.8000		false
idrinth_hev_high_elf_vampires_chapel_mixed	19	0	25	11	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	4.2000		false
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	55	0	94	32	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	4.2000		false
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	0	0	94	25	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.3000		false
idrinth_hev_high_elf_vampires_chapel_khaine_leader	0	29	94	43	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.8000		false
idrinth_hev_high_elf_vampires_chapel_shrine	0	18	144	84	3.0000	spear	unarmed	very_large	4	1.0000	0.7500	0.0000	true		1	1	4.0000		false
idrinth_hev_high_elf_vampires_chapel_cave_bats	0	0	24	7	1.0000	knife	creatures_claws		1	1.0000	0.2500	0.0000	false		0	10	4.3000		false
idrinth_hev_high_elf_vampires_chapel_hawks	0	0	13	41	2.0000	axe	creatures_claws	medium	4	1.0000	0.5000	0.0000	false		0	10	4.0000		false
idrinth_hev_high_elf_vampires_chapel_wolves	0	0	35	16	1.0000	axe	creatures_claws	medium	1	1.0000	0.5000	0.0000	false		0	10	4.0000		false
idrinth_hev_high_elf_vampires_chapel_great_eagle	0	0	281	187	7.0000	axe	creatures_claws	large	4	1.0000	0.7500	0.0000	false		0	3	4.0000		false
idrinth_hev_high_elf_vampires_chapel_stone_wolves	24	0	48	28	1.0000	axe	creatures_claws	large	1	1.0000	0.5000	0.0000	true		0	10	4.0000		false
idrinth_hev_high_elf_vampires_chapel_outriders	2	0	25	14	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	4.2000		false
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	69	0	118	40	1.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	4.2000		false
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	0	0	118	31	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.3000		false
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	0	36	118	54	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	4.8000		false
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	0	75	105	205	6.0000	axe	creatures_claws	medium	6	1.1000	1.2500	0.0000	false		0	10	2.9000		false
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	0	0	105	525	6.0000	axe	creatures_claws	medium	2	1.1000	1.2500	0.0000	false		0	10	2.9000		false
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	60	0	105	205	6.0000	axe	creatures_claws	medium	4	1.1000	1.2500	0.0000	false		0	10	2.9000		false
