key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/idrinth																																																									
idrinth_main_hef_bow_arrow	arrow	small_arm_default		none	2	dual_low_fixed	240	0	88	45.0000	10.0000	5.0000	42	18	false	false	0.1000	11.0000	120.0000	4.7000	0	10	wh2_main_hef_bow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	true	true	true	45	low	360	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_asuryan	arrow	small_arm_default		none	1	dual_low_fixed	204	0	88	45.0000	10.0000	0.0000	22	5	false	false	0.1000	11.0000	120.0000	3.1000	0	0	wh_dlc05_wef_glade_guard_arrow		wh_bow_arrow_magical	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	360	false	false	false	true	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_kurnous	arrow	small_arm_default		none	2	dual_low_fixed	210	0	88	45.0000	10.0000	0.0000	22	10	false	false	0.1000	11.0000	120.0000	3.1000	0	0	wh_dlc05_wef_glade_guard_arrow		wh_bow_arrow_magical	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	360	false	false	false	true	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_khaine	arrow	small_arm_default		none	2	low	90	0	88	45.0000	10.0000	2.8000	11	4	false	false	0.1000	12.0000	40.0000	4.0000	0	0	wh2_main_def_handbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	204	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_mixed	arrow	small_arm_default		none	1	dual_low_fixed	198	0	88	45.0000	10.0000	0.0000	19	4	false	false	0.1000	11.0000	120.0000	4.7000	0	0	wh2_main_hef_bow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	360	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	arrow	small_arm_default		none	1	dual_low_fixed	210	0	88	45.0000	10.0000	0.0000	22	5	false	false	0.1000	11.0000	120.0000	3.1000	0	0	wh_dlc05_wef_glade_guard_arrow		wh_bow_arrow_magical	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	360	false	false	false	true	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	arrow	small_arm_default		none	4	dual_low_fixed	240	0	88	45.0000	10.0000	0.0000	22	10	false	false	0.1000	11.0000	120.0000	3.1000	0	0	wh_dlc05_wef_glade_guard_arrow		wh_bow_arrow_magical	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	360	false	false	false	true	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_khaine_leader	arrow	small_arm_default		none	3	low	96	0	88	45.0000	10.0000	2.8000	11	4	false	false	0.1000	12.0000	40.0000	4.0000	0	0	wh2_main_def_handbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	204	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
idrinth_hev_high_elf_vampires_chapel_outriders	arrow	small_arm_default		none	2	low	84	0	88	45.0000	10.0000	2.8000	13	6	false	false	0.1000	15.0000	40.0000	4.0000	0	0	wh2_main_def_handbow_bolt		wh_crossbow_bolt_normal	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	true	true	true	45	low	240	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
