special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/idrinth	
idrinth_lore_thalui	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
idrinth_lore_thalui	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
idrinth_lore_thalui	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
idrinth_lore_thalui	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
idrinth_lore_thalui	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
idrinth_lore_thalui	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
idrinth_lore_thalui_upgraded	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded
idrinth_lore_thalui_upgraded	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded
idrinth_lore_thalui_upgraded	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
idrinth_lore_thalui_upgraded	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
idrinth_lore_thalui_upgraded	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded
idrinth_lore_thalui_upgraded	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded
