phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/idrinth			
idrinth_hev_high_elf_vampires_anti_chaos_multi	scalar_missile_damage_ap	4.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_accuracy	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	scalar_missile_damage_base	9.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_melee_damage_ap	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_melee_damage_base	11.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_morale	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_resistance_all	6.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_reloading	7.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_melee_attack	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_melee_defence	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_armour	1.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_multi	stat_charge_bonus	12.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	scalar_missile_damage_ap	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_accuracy	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	scalar_missile_damage_base	21.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_melee_damage_ap	12.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_melee_damage_base	25.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_morale	5.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_resistance_all	7.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_reloading	10.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_melee_attack	7.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_melee_defence	7.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_armour	2.0000	add
idrinth_hev_high_elf_vampires_anti_chaos_single	stat_charge_bonus	25.0000	add
