trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/idrinth			
idrinth_elf_slayer_khaine_known	wh2_main_faction_political_diplomacy_mod_dark_elves	character_to_faction	-3.0000
idrinth_elf_slayer_kurnous_known	wh_dlc05_faction_political_diplomacy_mod_wood_elves	character_to_faction	-3.0000
idrinth_elf_slayer_asuryan_known	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-3.0000
idrinth_elf_slayer_khaine_despised	wh2_main_faction_political_diplomacy_mod_dark_elves	character_to_faction	-5.0000
idrinth_elf_slayer_kurnous_despised	wh_dlc05_faction_political_diplomacy_mod_wood_elves	character_to_faction	-5.0000
idrinth_elf_slayer_asuryan_despised	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-5.0000
idrinth_elf_slayer_khaine_hated	wh2_main_faction_political_diplomacy_mod_dark_elves	character_to_faction	-7.0000
idrinth_elf_slayer_kurnous_hated	wh_dlc05_faction_political_diplomacy_mod_wood_elves	character_to_faction	-7.0000
idrinth_elf_slayer_asuryan_hated	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-7.0000
idrinth_elf_slayer_khaine_despised	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-3.0000
idrinth_elf_slayer_kurnous_despised	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-3.0000
idrinth_elf_slayer_asuryan_despised	wh_dlc05_faction_political_diplomacy_mod_wood_elves	character_to_faction	-3.0000
idrinth_elf_slayer_khaine_hated	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-5.0000
idrinth_elf_slayer_kurnous_hated	wh2_main_faction_political_diplomacy_mod_high_elves	character_to_faction	-5.0000
idrinth_elf_slayer_asuryan_hated	wh_dlc05_faction_political_diplomacy_mod_wood_elves	character_to_faction	-5.0000
idrinth_elf_slayer_khaine_hated	wh_dlc05_faction_political_diplomacy_mod_wood_elves	character_to_faction	-3.0000
idrinth_elf_slayer_kurnous_hated	wh2_main_faction_political_diplomacy_mod_dark_elves	character_to_faction	-3.0000
idrinth_elf_slayer_asuryan_hated	wh2_main_faction_political_diplomacy_mod_dark_elves	character_to_faction	-3.0000
idrinth_elf_slayer_khaine_known	idrinth_pooled_resource_khaine	character_to_faction	-3.0000
idrinth_elf_slayer_kurnous_known	idrinth_pooled_resource_kurnous	character_to_faction	-3.0000
idrinth_elf_slayer_asuryan_known	idrinth_pooled_resource_asuryan	character_to_faction	-3.0000
idrinth_elf_slayer_khaine_despised	idrinth_pooled_resource_khaine	character_to_faction	-7.0000
idrinth_elf_slayer_kurnous_despised	idrinth_pooled_resource_kurnous	character_to_faction	-7.0000
idrinth_elf_slayer_asuryan_despised	idrinth_pooled_resource_asuryan	character_to_faction	-7.0000
idrinth_elf_slayer_khaine_hated	idrinth_pooled_resource_khaine	character_to_faction	-12.0000
idrinth_elf_slayer_kurnous_hated	idrinth_pooled_resource_kurnous	character_to_faction	-12.0000
idrinth_elf_slayer_asuryan_hated	idrinth_pooled_resource_asuryan	character_to_faction	-12.0000
idrinth_killer	wh_main_effect_general_mod_tunnel_interception_chance	army_to_army_own	5.0000
idrinth_killer	wh_main_effect_force_stat_vigour_loss_reduction	character_to_force_own	-7.5000
idrinth_elf_slayer_khaine_despised	wh_main_effect_public_order_global	character_to_faction	1.0000
idrinth_elf_slayer_kurnous_despised	wh_main_effect_public_order_global	character_to_faction	1.0000
idrinth_elf_slayer_asuryan_despised	wh_main_effect_public_order_global	character_to_faction	1.0000
idrinth_elf_slayer_khaine_hated	wh_main_effect_public_order_global	character_to_faction	2.0000
idrinth_elf_slayer_kurnous_hated	wh_main_effect_public_order_global	character_to_faction	2.0000
idrinth_elf_slayer_asuryan_hated	wh_main_effect_public_order_global	character_to_faction	2.0000
idrinth_elf_slayer_khaine_hated	wh2_main_effect_force_stat_leadership_vs_dark_elves	character_to_force_own	5.0000
idrinth_elf_slayer_kurnous_hated	wh2_main_effect_force_stat_leadership_vs_wood_elves	character_to_force_own	5.0000
idrinth_elf_slayer_asuryan_hated	wh2_main_effect_force_stat_leadership_vs_high_elves	character_to_force_own	5.0000
idrinth_devotion_asuryan_positive_1	wh_main_effect_force_stat_melee_defence	character_to_force_own	3.0000
idrinth_devotion_asuryan_positive_2	wh_main_effect_force_stat_armour	character_to_force_own	5.0000
idrinth_devotion_asuryan_positive_2	wh_main_effect_force_stat_melee_defence	character_to_force_own	5.0000
idrinth_devotion_asuryan_positive_3	wh_main_effect_force_stat_armour	character_to_force_own	7.0000
idrinth_devotion_asuryan_positive_3	wh_main_effect_force_stat_melee_defence	character_to_force_own	7.0000
idrinth_devotion_asuryan_positive_3	wh_main_effect_force_stat_physical_resistance	character_to_force_own	7.0000
idrinth_devotion_asuryan_negative_1	wh_main_effect_force_stat_melee_defence	character_to_force_own	-1.0000
idrinth_devotion_asuryan_negative_1	idrinth_pooled_resource_asuryan	character_to_faction	-1.0000
idrinth_devotion_asuryan_negative_2	wh_main_effect_force_stat_armour	character_to_force_own	-3.0000
idrinth_devotion_asuryan_negative_2	wh_main_effect_force_stat_melee_defence	character_to_force_own	-3.0000
idrinth_devotion_asuryan_negative_2	idrinth_pooled_resource_asuryan	character_to_faction	-3.0000
idrinth_devotion_khaine_positive_1	wh_main_effect_force_stat_melee_attack	character_to_force_own	3.0000
idrinth_devotion_khaine_positive_2	wh_main_effect_force_stat_weapon_strength	character_to_force_own	5.0000
idrinth_devotion_khaine_positive_2	wh_main_effect_force_stat_melee_attack	character_to_force_own	5.0000
idrinth_devotion_khaine_positive_3	wh_main_effect_force_stat_weapon_strength	character_to_force_own	7.0000
idrinth_devotion_khaine_positive_3	wh_main_effect_force_stat_melee_attack	character_to_force_own	7.0000
idrinth_devotion_khaine_positive_3	wh_main_effect_force_stat_ap_damage	character_to_force_own	7.0000
idrinth_devotion_khaine_negative_1	wh_main_effect_force_stat_melee_attack	character_to_force_own	-1.0000
idrinth_devotion_khaine_negative_1	idrinth_pooled_resource_khaine	character_to_faction	-1.0000
idrinth_devotion_khaine_negative_2	wh_main_effect_force_stat_melee_attack	character_to_force_own	-3.0000
idrinth_devotion_khaine_negative_2	wh_main_effect_force_stat_weapon_strength	character_to_force_own	-3.0000
idrinth_devotion_khaine_negative_2	idrinth_pooled_resource_khaine	character_to_faction	-3.0000
idrinth_devotion_kurnous_positive_1	wh_main_effect_force_stat_speed	character_to_force_own	3.0000
idrinth_devotion_kurnous_positive_2	wh_main_effect_force_stat_vigour_loss_reduction	character_to_force_own	-5.0000
idrinth_devotion_kurnous_positive_2	wh_main_effect_force_stat_speed	character_to_force_own	5.0000
idrinth_devotion_kurnous_positive_3	wh_main_effect_force_stat_vigour_loss_reduction	character_to_force_own	-7.0000
idrinth_devotion_kurnous_positive_3	wh_main_effect_force_stat_range	character_to_force_own	7.0000
idrinth_devotion_kurnous_positive_3	wh_main_effect_force_stat_speed	character_to_force_own	7.0000
idrinth_devotion_kurnous_negative_1	wh_main_effect_force_stat_speed	character_to_force_own	-1.0000
idrinth_devotion_kurnous_negative_1	idrinth_pooled_resource_kurnous	character_to_faction	-1.0000
idrinth_devotion_kurnous_negative_2	wh_main_effect_force_stat_vigour_loss_reduction	character_to_force_own	3.0000
idrinth_devotion_kurnous_negative_2	wh_main_effect_force_stat_speed	character_to_force_own	-3.0000
idrinth_devotion_kurnous_negative_2	idrinth_pooled_resource_kurnous	character_to_faction	-3.0000
idrinth_thalui_name_active	idrinth_enable_thalui_name	character_to_character_own	1.0000
idrinth_thalui_name_active	idrinth_enable_thalui_name_actual	character_to_character_own	1.0000
