agent_subtype	initiative
#ui_initiative_to_agent_subtypes_tables;0;db/ui_initiative_to_agent_subtypes_tables/idrinth	
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_khaine_pledge
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_kurnous_pledge
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_asuryan_pledge
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_khaine_pledge
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_kurnous_pledge
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_asuryan_pledge
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_khaine_prayer
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_kurnous_prayer
idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_asuryan_prayer
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_khaine_prayer
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_kurnous_prayer
idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_asuryan_prayer
