attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/idrinth	
undead	idrinth_hev_high_elf_vampires_idrinth
devastating_flanker	idrinth_hev_high_elf_vampires_idrinth
spell_mastery	idrinth_hev_high_elf_vampires_idrinth
disciplined	idrinth_hev_high_elf_vampires_idrinth
fatigue_immune	idrinth_hev_high_elf_vampires_idrinth
guerrilla_deploy	idrinth_hev_high_elf_vampires_idrinth
hide_forest	idrinth_hev_high_elf_vampires_idrinth
strider	idrinth_hev_high_elf_vampires_idrinth
flanking_immune	idrinth_hev_high_elf_vampires_idrinth
charge_defense_vs_large	idrinth_hev_high_elf_vampires_idrinth
mounted_fire_move	idrinth_hev_high_elf_vampires_idrinth
ignore_trees	idrinth_hev_high_elf_vampires_idrinth
disciplined	idrinth_hev_high_elf_vampires_chapel_asuryan
fatigue_res	idrinth_hev_high_elf_vampires_chapel_asuryan
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_asuryan
hide_forest	idrinth_hev_high_elf_vampires_chapel_asuryan
strider	idrinth_hev_high_elf_vampires_chapel_asuryan
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_asuryan
ignore_trees	idrinth_hev_high_elf_vampires_chapel_asuryan
disciplined	idrinth_hev_high_elf_vampires_chapel_kurnous
fatigue_res	idrinth_hev_high_elf_vampires_chapel_kurnous
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_kurnous
hide_forest	idrinth_hev_high_elf_vampires_chapel_kurnous
strider	idrinth_hev_high_elf_vampires_chapel_kurnous
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_kurnous
ignore_trees	idrinth_hev_high_elf_vampires_chapel_kurnous
disciplined	idrinth_hev_high_elf_vampires_chapel_khaine
fatigue_res	idrinth_hev_high_elf_vampires_chapel_khaine
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_khaine
hide_forest	idrinth_hev_high_elf_vampires_chapel_khaine
strider	idrinth_hev_high_elf_vampires_chapel_khaine
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_khaine
ignore_trees	idrinth_hev_high_elf_vampires_chapel_khaine
disciplined	idrinth_hev_high_elf_vampires_chapel_mixed
fatigue_res	idrinth_hev_high_elf_vampires_chapel_mixed
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_mixed
hide_forest	idrinth_hev_high_elf_vampires_chapel_mixed
strider	idrinth_hev_high_elf_vampires_chapel_mixed
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_mixed
ignore_trees	idrinth_hev_high_elf_vampires_chapel_mixed
disciplined	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
fatigue_res	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
hide_forest	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
strider	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
ignore_trees	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
disciplined	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
fatigue_res	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
hide_forest	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
strider	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
ignore_trees	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
disciplined	idrinth_hev_high_elf_vampires_chapel_khaine_leader
fatigue_res	idrinth_hev_high_elf_vampires_chapel_khaine_leader
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_khaine_leader
hide_forest	idrinth_hev_high_elf_vampires_chapel_khaine_leader
strider	idrinth_hev_high_elf_vampires_chapel_khaine_leader
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_khaine_leader
ignore_trees	idrinth_hev_high_elf_vampires_chapel_khaine_leader
causes_fear	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
causes_fear	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
causes_fear	idrinth_hev_high_elf_vampires_chapel_khaine_leader
encourages	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
encourages	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
encourages	idrinth_hev_high_elf_vampires_chapel_khaine_leader
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_asuryan
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_kurnous
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_khaine
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_mixed
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_khaine_leader
causes_terror	idrinth_hev_high_elf_vampires_chapel_shrine
charge_defense	idrinth_hev_high_elf_vampires_chapel_shrine
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_shrine
construct	idrinth_hev_high_elf_vampires_chapel_shrine
encourages	idrinth_hev_high_elf_vampires_chapel_shrine
fatigue_immune	idrinth_hev_high_elf_vampires_chapel_shrine
hide_forest	idrinth_hev_high_elf_vampires_chapel_shrine
unbreakable	idrinth_hev_high_elf_vampires_chapel_shrine
devastating_flanker	idrinth_hev_high_elf_vampires_chapel_shrine
causes_fear	idrinth_hev_high_elf_vampires_chapel_cave_bats
causes_fear	idrinth_hev_high_elf_vampires_chapel_hawks
causes_fear	idrinth_hev_high_elf_vampires_chapel_wolves
