key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/idrinth				
idrinth_asuryan_god_favour_cave_bats	idrinth_asuryan_aspect_cave_bats	idrinth_asuryan_god_favour_cave_bats	idrinth_asuryan	
idrinth_kurnous_god_favour_cave_bats	idrinth_kurnous_aspect_cave_bats	idrinth_kurnous_god_favour_cave_bats	idrinth_kurnous	
idrinth_khaine_god_favour_cave_bats	idrinth_khaine_aspect_cave_bats	idrinth_khaine_god_favour_cave_bats	idrinth_khaine	
idrinth_asuryan_god_favour_wolves	idrinth_asuryan_aspect_wolves	idrinth_asuryan_god_favour_wolves	idrinth_asuryan	
idrinth_kurnous_god_favour_wolves	idrinth_kurnous_aspect_wolves	idrinth_kurnous_god_favour_wolves	idrinth_kurnous	
idrinth_khaine_god_favour_wolves	idrinth_khaine_aspect_wolves	idrinth_khaine_god_favour_wolves	idrinth_khaine	
idrinth_asuryan_god_favour_hawks	idrinth_asuryan_aspect_hawks	idrinth_asuryan_god_favour_hawks	idrinth_asuryan	
idrinth_kurnous_god_favour_hawks	idrinth_kurnous_aspect_hawks	idrinth_kurnous_god_favour_hawks	idrinth_kurnous	
idrinth_khaine_god_favour_hawks	idrinth_khaine_aspect_hawks	idrinth_khaine_god_favour_hawks	idrinth_khaine	
idrinth_asuryan_god_favour_great_eagles	idrinth_asuryan_aspect_great_eagle	idrinth_asuryan_god_favour_great_eagles	idrinth_asuryan	
idrinth_kurnous_god_favour_great_eagles	idrinth_kurnous_aspect_great_eagle	idrinth_kurnous_god_favour_great_eagles	idrinth_kurnous	
idrinth_khaine_god_favour_great_eagles	idrinth_khaine_aspect_great_eagle	idrinth_khaine_god_favour_great_eagles	idrinth_khaine	
idrinth_veteran_0	idrinth_free	idrinth_veteran_0	idrinth_experience	
idrinth_veteran_1	idrinth_free	idrinth_veteran_1	idrinth_experience	
idrinth_veteran_2	idrinth_free	idrinth_veteran_2	idrinth_experience	
idrinth_veteran_3	idrinth_free	idrinth_veteran_3	idrinth_experience	
idrinth_veteran_4	idrinth_free	idrinth_veteran_4	idrinth_experience	
idrinth_veteran_5	idrinth_free	idrinth_veteran_5	idrinth_experience	
idrinth_veteran_6	idrinth_free	idrinth_veteran_6	idrinth_experience	
idrinth_veteran_7	idrinth_free	idrinth_veteran_7	idrinth_experience	
idrinth_veteran_8	idrinth_free	idrinth_veteran_8	idrinth_experience	
idrinth_veteran_9	idrinth_free	idrinth_veteran_9	idrinth_experience	
