unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/idrinth					
			idrinth_hev_high_elf_vampires_idrinthchampion	hef_casters	false
			idrinth_hev_high_elf_vampires_idrinthchampion	undead_units	false
			idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_hev_high_elf_vampires_idrinth	false
			idrinth_hev_high_elf_vampires_idrinthchampion	wef_dlc05_elf_characters	false
			idrinth_hev_high_elf_vampires_idrinthchampion	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_cave_bats	flying_units	false
			idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_all_beasts	false
			idrinth_hev_high_elf_vampires_chapel_hawks	flying_units	false
			idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_hev_high_elf_vampires_all_beasts	false
			idrinth_hev_high_elf_vampires_chapel_wolves	monsters	false
			idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_hev_high_elf_vampires_all_beasts	false
			idrinth_hev_high_elf_vampires_chapel_great_eagle	flying_units	false
			idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_hev_high_elf_vampires_all_beasts	false
			idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_all_animated	false
			idrinth_hev_high_elf_vampires_chapel_stone_wolves	monsters	false
			idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_all_animated	false
			idrinth_hev_high_elf_vampires_chapel_shrine	chariots	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_priests	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_priests	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_priests	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_priests	false
