upgrade_key	base_unit_group	target_unit_group	resource_cost	required_rank	subtracted_rank
#unit_upgrade_to_unit_groups_tables;3;db/unit_upgrade_to_unit_groups_tables/idrinth					
idrinth_hev_high_elf_vampires_asuryan_priest_to_vampire	idrinth_hev_high_elf_vampires_chapel_priest_asuryan	idrinth_hev_high_elf_vampires_chapel_vampire_priest_asuryan	idrinth_asuryan_medium_training	6	3
idrinth_hev_high_elf_vampires_asuryan_priest_to_varghulf	idrinth_hev_high_elf_vampires_chapel_priest_asuryan	idrinth_hev_high_elf_vampires_chapel_varghulf_asuryan	idrinth_asuryan_medium_training	6	9
idrinth_hev_high_elf_vampires_khaine_priest_to_vampire	idrinth_hev_high_elf_vampires_chapel_priest_khaine	idrinth_hev_high_elf_vampires_chapel_vampire_priest_khaine	idrinth_khaine_medium_training	6	3
idrinth_hev_high_elf_vampires_khaine_priest_to_varghulf	idrinth_hev_high_elf_vampires_chapel_priest_khaine	idrinth_hev_high_elf_vampires_chapel_varghulf_khaine	idrinth_khaine_medium_training	6	9
idrinth_hev_high_elf_vampires_kurnous_priest_to_vampire	idrinth_hev_high_elf_vampires_chapel_priest_kurnous	idrinth_hev_high_elf_vampires_chapel_vampire_priest_kurnous	idrinth_kurnous_medium_training	6	3
idrinth_hev_high_elf_vampires_kurnous_priest_to_varghulf	idrinth_hev_high_elf_vampires_chapel_priest_kurnous	idrinth_hev_high_elf_vampires_chapel_varghulf_kurnous	idrinth_kurnous_medium_training	6	9
idrinth_hev_high_elf_vampires_chapel_mixed_to_asuryan	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_asuryan_small_training	6	3
idrinth_hev_high_elf_vampires_chapel_mixed_to_khaine	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_khaine_small_training	6	3
idrinth_hev_high_elf_vampires_chapel_mixed_to_kurnous	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_kurnous_small_training	6	3
