faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/idrinth				
	idrinth_hev_high_elf_vampires_idrinth	idrinth_hev_high_elf_vampires_idrinth	idrinth_hev_high_elf_vampires_idrinth	idrinth_hev_high_elf_vampires_idrinth
	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_mixed
	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous
	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan
	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine
	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
	idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_chapel_khaine_leader
	idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_chapel_shrine
	idrinth_hev_high_elf_vampires_chapel_cave_bats	wh2_dlc16_wef_mon_cave_bats	wh_vmp_bat	wh_main_vmp_fell_bats
	idrinth_hev_high_elf_vampires_chapel_hawks	wh2_dlc16_wef_mon_warhawks_0	wh_dlc16_wef_hawk	wh2_dlc16_wef_hawks
	idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_chapel_stone_wolves
	idrinth_hev_high_elf_vampires_chapel_wolves	wh2_dlc16_wef_mon_wolfpack_0	wh2_dlc16_wef_giant_wolf	wh2_dlc16_wef_wolves
	idrinth_hev_high_elf_vampires_chapel_great_eagle	wh2_main_hef_mon_great_eagle	wh2_main_hef_great_eagle	wh2_main_hef_mon_great_eagle
	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders	wh2_main_def_dark_riders_crossbow
	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_chapel_khaine_leader
