variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/idrinth							
idrinth_hev_high_elf_vampires_idrinth		idrinth_hev_high_elf_vampires_idrinth		1.0000	1.2500	0.0000	
idrinth_hev_high_elf_vampires_chapel_mixed		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.0000	0.0500	
idrinth_hev_high_elf_vampires_chapel_asuryan		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.0000	0.0500	
idrinth_hev_high_elf_vampires_chapel_kurnous		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.0000	0.0500	
idrinth_hev_high_elf_vampires_chapel_khaine		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.0000	0.0500	
idrinth_hev_high_elf_vampires_chapel_asuryan_leader		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.1000	0.0500	
idrinth_hev_high_elf_vampires_chapel_kurnous_leader		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.1000	0.0500	
idrinth_hev_high_elf_vampires_chapel_khaine_leader		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.1000	0.0500	
idrinth_hev_high_elf_vampires_chapel_shrine		idrinth_hev_high_elf_vampires_chapel_guard		1.0000	1.0000	0.0500	
idrinth_hev_high_elf_vampires_chapel_stone_wolves		idrinth_hev_high_elf_vampires_chapel_stone_wolf		1.5000	1.5000	0.1500	
