key	text	tooltip
#Loc;1;text/db/idrinth_mct__.loc		
mct_idrinth_title	Idrinth Thalui - Vysokoelfí upíří Mistr znalostí	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	Příběh padlého Mistra znalostí\\n\\nKdysi vážený vysokoelfí Mistr znalostí, Idrinth Thalui nalezl svůj smrtelný konec během krvavých válek s upíry, jen aby znovu povstal jako jeden z tvorů, proti kterým bojoval. Nyní tento Rytíř-Učenec kráčí po nebezpečné cestě mezi svým elfím dědictvím a upířím prokletím, hledajíc smysl ve světě roztrhaném Chaosem.\\n\\nPovedeš ho k vykoupení, nebo přijmeš temnotu v něm? Jeho osud spočívá ve tvých rukou.\\n\\nUnikátní nábor\\n\\nIdrinth může být naverbován jako Lord nebo Hrdina těmi, kdo by mohli ocenit jeho dvojí přirozenost:\\n- Říše (hledající arkánní znalosti)\\n- Kislev (zoufale hledající mocné spojence)\\n- Vysokí elfové (přející si získat zpět jednoho ze svých)\\n- Lesní elfové (oceňující jeho spojení s Kurnousem)\\n- Vampírská hrabata (přijímající jeho nově nabytou moc)\\n\\nVolnější lore mód\\n\\nVe volnějším lore módu jsou přidány některé méně pravděpodobné frakce, které představují zoufalé spojenectví:\\n- Bretonnie\\n- Cathay\\n- Temní elfové\\n- Legie Nagashe (modovaná frakce)\\n- Vampírské pobřeží\\n\\nKlíčové vlastnosti\\n\\nSystém božské přízně\\n\\nVyvažuj svou věrnost mezi třemi mocnými elfími božstvy, z nichž každé nabízí jedinečné cesty ke sjednocení Idrinthovy roztříštěné existence:\\n\\nKhaine: Přijmi agresi se zvýšenou bojovou zdatností a výstupem poškození\\n\\nAsuryan: Hledej rovnováhu prostřednictvím vylepšené obrany a magické odolnosti\\n\\nKurnous: Ovládni cestu lovce se střeleckou převahou a pohyblivostí\\n\\nSystém kaplí\\n\\nNa základě božských vlivů může Idrinth zakládat kaple, které významně ovlivňují velikost posádky, sílu a využití božské přízně a také prospívají místní ekonomice a růstu.\\n\\nPokud není použit požadovaný mod, cizí sloty se mohou chovat podivně - mod není technicky nutný, pokud nehraješ frakci, která již má cizí sloty.\\n\\nNarativní dilemata\\n\\nČel kritickým rozhodnutím, která formují Idrinthův charakter a určují jeho vztah s božským. Přijmeš své elfí kořeny, nebo se vzdáš upíří moci? Každé rozhodnutí ovlivňuje tvou božskou přízeň a odemyká trvalé bonusy.\\n\\nBožské artefaktové sety\\n\\nSbírej a vybavuj mocné artefakty zasvěcené bohům, které vylepšují Idrinthovy schopnosti. Dokončením setu získáš speciální bonusy, které doplňují tvou zvolenou božskou cestu.\\n\\nNásledky zabíjení elfů\\n\\nDynamický systém vlastností, který sleduje tvé bitvy proti elfím frakcím. Čím více elfů zabiješ, tím více budeš mezi jejich druhem známý, opovrhovaný a nakonec nenáviděný, s významnými diplomatickými a božskými důsledky.\\n\\nArkánní všestrannost\\n\\nOvládni kouzla z více magických nauk, odrážejících Idrinthovo učenecké pozadí a upíří proměnu:\\n- Nauka upírů\\n- Nauka smrti\\n- Nauka stínů\\n\\nVlastní bitevní frakce\\n\\nHraj kaplanské síly jako vlastní frakci ve vlastních bitvách, jak v jednoherním, tak v multiplayerovém režimu.\\n\\nZvířecí WAAAGH\\n\\nGenerál shromažďuje menažerii spřátelených zvířat kolem sebe, vytvářejíc waaagh z požehnaných zvířat.\\n\\nUPOZORNĚNÍ NA ALPHA VERZI\\n\\nTento mod je v RANÉ ALPHA vývoji. Můžeš narazit na:\\n\\n- Některá tlačítka v armádě nemusí fungovat\\n- Některé změny UI trvají sekundu, než se aplikují\\n- Probíhající úpravy vyvážení\\n- Systém modliteb dočasně nahrazen náhodně spouštěnými božskými intervencemi\\n\\nTvá zpětná vazba je nezbytná pro vylepšení! Prosím hlásit jakékoliv problémy, na které narazíš.\\n\\nPoznámka ke kompatibilitě:\\n\\nVlastní frakce Nagashe je teoreticky podporována. Podpora však vyžaduje testování - pokud najdeš chyby, hlásit je zde a neobtěžuj ostatní mody!\\n\\nKonfigurace\\n\\nNástroj pro konfiguraci modů je podporován, ale volitelný.\\n\\nAI v tomto modu\\n\\nV modu jsou momentálně některé obrázky generované AI. Postupně jsou nahrazovány správným uměním, jakmile bude finální identita a vzhled jednotek.	false
mct_idrinth_expanded_spawn_text	Rozšířené verbovací kultury	false
mct_idrinth_expanded_spawn_tooltip	Umožňuje Idrinthovi se objevit také pro Bretonnii, Cathay, Legie Nagashe, Temné elfy a Vampírské pobřeží.	false
mct_idrinth_level_adjustment_text	Požadavek na úroveň	false
mct_idrinth_level_adjustment_options_null_text	Raná hra	false
mct_idrinth_level_adjustment_options_one_text	Pozdní raná hra	false
mct_idrinth_level_adjustment_options_three_text	Raná střední hra	false
mct_idrinth_level_adjustment_options_six_text	Střední hra	false
mct_idrinth_level_adjustment_tooltip	Modifikuje požadavek na úroveň pro získání Idrinthovy odemykací mise.	false
mct_idrinth_god_item_difficulty_text	Obtížnost božských předmětů	false
mct_idrinth_god_item_difficulty_options_low_text	Nízké požadavky	false
mct_idrinth_god_item_difficulty_options_normal_text	Normální požadavky	false
mct_idrinth_god_item_difficulty_options_high_text	Vysoké požadavky	false
mct_idrinth_god_item_difficulty_tooltip	Modifikuje požadavky pro získání božsky požehnaných předmětů.	false
mct_idrinth_chapel_chance_text	Šance na spawn kaple	false
mct_idrinth_chapel_chance_options_low_text	Nízká šance	false
mct_idrinth_chapel_chance_options_normal_text	Normální šance	false
mct_idrinth_chapel_chance_options_high_text	Vysoká šance	false
mct_idrinth_chapel_chance_tooltip	Modifikuje šanci na spawn Thaluiánských kaplí Idrinthovou přítomností.	false
mct_idrinth_story_events_text	Povolit příběhové události	false
mct_idrinth_story_events_tooltip	Umožňuje Idrinthovi upozornit hráče při dosažení konkrétních regionů důležitých pro něj.	false
mct_idrinth_chapels_text	Thaluiánské kaple	false
mct_idrinth_chapels_tooltip	Umožňuje Idrinthovi zakládat kaple, které posilují obranu měst a ovlivňují generování božské přízně.	false
mct_idrinth_dilemma_cooldown_text	Cooldown dilemat	false
mct_idrinth_dilemma_cooldown_options_low_text	Nízký (1 + [1-2])	false
mct_idrinth_dilemma_cooldown_options_medium_text	Střední (2 + [1-3])	false
mct_idrinth_dilemma_cooldown_options_long_text	Dlouhý (3 + [1-4])	false
mct_idrinth_dilemma_cooldown_tooltip	Modifikuje cooldown mezi dilematy vyžadujícími rozhodnutí.	false
mct_idrinth_names_text	Přejmenování jednotek	false
mct_idrinth_names_tooltip	Když je zaškrtnuto, jednotky získávají vlastní jméno při náboru ze seznamu elfích jmen.	false
mct_idrinth_logging_text	Povolit vlastní logování	false
mct_idrinth_logging_tooltip	Když je zaškrtnuto, tento mod loguje do kořenového adresáře hry do idrinth.*.log.	false
mct_idrinth_base_logging_text	Povolit použití základního logování hry	false
mct_idrinth_base_logging_tooltip	Když je zaškrtnuto, tento mod loguje pomocí logovací funkce základní hry.	false
mct_idrinth_section_idrinth_features_name	Přepínače funkcí	false
mct_idrinth_section_idrinth_chances_name	Šance	false
mct_idrinth_section_idrinth_spawn_name	Možnosti spawnu	false
mct_idrinth_section_idrinth_other_name	Další možnosti	false
mct_idrinth_section_idrinth_cooldowns_name	Možnosti cooldownu	false
mct_idrinth_intervention_cooldown_text	Cooldown intervence	false
mct_idrinth_intervention_cooldown_options_low_text	Nízký (80%)	false
mct_idrinth_intervention_cooldown_options_medium_text	Střední (100%)	false
mct_idrinth_intervention_cooldown_options_long_text	Dlouhý (120%)	false
mct_idrinth_intervention_cooldown_tooltip	Modifikuje cooldown mezi božskými intervencemi.	false
mct_idrinth_animal_waaagh_text	Zvířecí WAAAGH	false
mct_idrinth_animal_waaagh_tooltip	Když je zaškrtnuto, Idrintha následuje WAAAGH-armáda složená ze zvířat. Vypnutí neodstraní armádu.	false
mct_idrinth_vampire_chance_text	Šance proměny na upíra	false
mct_idrinth_vampire_chance_options_low_text	Nízká (10% základní úspěšnost)	false
mct_idrinth_vampire_chance_options_normal_text	Normální (15% základní úspěšnost)	false
mct_idrinth_vampire_chance_options_high_text	Vysoká (20% základní úspěšnost)	false
mct_idrinth_vampire_chance_tooltip	Mění šanci kněží přežít proměnu na upíry.	false
mct_idrinth_story_dilemma_base_chance_text	Základní šance příběhových dilemat	false
mct_idrinth_story_dilemma_base_chance_options_low_text	Nízká	false
mct_idrinth_story_dilemma_base_chance_options_normal_text	Normální	false
mct_idrinth_story_dilemma_base_chance_options_high_text	Vysoká	false
mct_idrinth_story_dilemma_base_chance_tooltip	Mění šanci spuštění příběhových rozhodovacích dilemat.	false
mct_idrinth_god_item_base_chance_text	Základní šance božských předmětů	false
mct_idrinth_god_item_base_chance_options_low_text	Nízká	false
mct_idrinth_god_item_base_chance_options_normal_text	Normální	false
mct_idrinth_god_item_base_chance_options_high_text	Vysoká	false
mct_idrinth_god_item_base_chance_tooltip	Mění šanci nabídnutí božských předmětů.	false
