key	text	tooltip
#Loc;1;text/db/idrinth_agent_actions__.loc		
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	[[col:yellow]]Erhöhet den Erfahrungsgewinn um %n% für Einheiten, so in der Heerschar dienen.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	[[col:yellow]]Erschlägt den anvisierten [[img:icon_hero]][[/img]]Helden.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	[[col:yellow]]Füget allen Einheiten der anvisierten Heerschar Schaden zu.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	[[col:yellow]]Mehret die [[img:icon_corruption_vmp]][[/img]]Vampirische Verderbnis in der hiesigen Provinz um %n.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	{{tr:agent_action_name_spread_corruption}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	{{tr:agent_action_name_training}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	{{tr:agent_action_name_assassinate}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	{{tr:agent_action_name_assault_units}}	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	{{tr:agent_action_name_stimulate_growth}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	Mindert das [[img:icon_growth]][[/img]]Wachstum	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	[[col:yellow]]Mehret die [[img:icon_public_order]][[/img]]öffentliche Ordnung in der hiesigen Provinz um %n.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	Mehret die [[img:icon_public_order]][[/img]]öffentliche Ordnung	false
