key	text	tooltip
#Loc;1;text/db/idrinth_character_skills__.loc
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Heeresausbildung	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Meucheln	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Einheiten angreifen	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Spezialist	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Tapferkeit der Zeitalter	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Asuryans Schnelligkeit	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Hoeths Schutz	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Loecs Schutz	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Kolossaler Hieb	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Klingenmeister	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Schwer zu treffen	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Überzeugung	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Inbrunst	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Unantastbar	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Beharrlichkeit	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Ausweichen	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Erdung	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Kraftentzug	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Arkaner Leiter	false
