key	text	tooltip
#Loc;1;text/db/idrinth_mct__.loc		
mct_idrinth_title	Idrinth Thalui - Der hochelfische Vampir-Gelehrte	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	The Tale of a Fallen Loremaster\\n\\nOnce a respected High Elven Loremaster, Idrinth Thalui met his mortal end during the bloody Vampire Wars, only to rise again as one of the very creatures he fought against. Now this Knight-Scholar walks a precarious path between his elven heritage and vampiric curse, seeking purpose in a world torn by Chaos.\\n\\nWill you guide him toward redemption or embrace the darkness within? His fate rests in your hands.	false
mct_idrinth_expanded_spawn_text	Erweiterte Spawn-Kulturen	false
mct_idrinth_expanded_spawn_tooltip	Erlaubt es Idrinth, auch für Bretonia, Cathay, die Legionen von Nagash, Dunkelelfen und Vampirküste zu erscheinen.	false
mct_idrinth_level_adjustment_text	Stufenanforderung	false
mct_idrinth_level_adjustment_options_null_text	Frühes Spiel	false
mct_idrinth_level_adjustment_options_one_text	Spätes frühes Spiel	false
mct_idrinth_level_adjustment_options_three_text	Frühes mittleres Spiel	false
mct_idrinth_level_adjustment_options_six_text	Mittleres Spiel	false
mct_idrinth_level_adjustment_tooltip	Modifiziert die Stufenanforderung, um Idrinths Freischaltquest zu erhalten.	false
mct_idrinth_god_item_difficulty_text	Schwierigkeit der gottgesegneten Gegenstände	false
mct_idrinth_god_item_difficulty_options_low_text	Niedrige Anforderungen	false
mct_idrinth_god_item_difficulty_options_normal_text	Normale Anforderungen	false
mct_idrinth_god_item_difficulty_options_high_text	Hohe Anforderungen	false
mct_idrinth_god_item_difficulty_tooltip	Modifiziert die Anforderungen für den Erhalt der gottgesegneten Gegenstände.	false
mct_idrinth_chapel_chance_text	Kapellen-Spawn-Chance	false
mct_idrinth_chapel_chance_options_low_text	Niedrige Chance	false
mct_idrinth_chapel_chance_options_normal_text	Normale Chance	false
mct_idrinth_chapel_chance_options_high_text	Hohe Chance	false
mct_idrinth_chapel_chance_tooltip	Modifiziert die Chance, dass Thaluische Kapellen durch Idrinths Anwesenheit erscheinen.	false
mct_idrinth_story_events_text	Story-Ereignisse aktivieren	false
mct_idrinth_story_events_tooltip	Erlaubt Idrinth, den Spieler zu benachrichtigen, wenn er bestimmte für ihn wichtige Regionen erreicht.	false
mct_idrinth_chapels_text	Thaluische Kapellen	false
mct_idrinth_chapels_tooltip	Erlaubt Idrinth, Kapellen zu gründen, die die Verteidigung von Städten stärken und die Erzeugung göttlicher Gunst beeinflussen.	false
mct_idrinth_dilemma_cooldown_text	Dilemma-Abklingzeit	false
