key	text	tooltip
#Loc;1;text/db/idrinth_versions.loc		
mct_patch_notes_129_notes	- fix treasury costs for upgrades giving money instead of costing it	false
mct_patch_notes_129_version	v1.6.4	false
mct_patch_notes_128_notes	- rewritten code for better stability\\n- more options in the mod config tool\\n- many small fixes	false
mct_patch_notes_128_version	v1.6.3	false
mct_patch_notes_127_notes	- performance improvements for delayed function calling	false
mct_patch_notes_127_version	v1.6.2	false
mct_patch_notes_126_notes	- fix nowAndThen firing too often leading to crashes	false
mct_patch_notes_126_version	v1.6.1	false
mct_patch_notes_125_notes	- unit size upgrades\\n- beast upgrade rework	false
mct_patch_notes_125_version	v1.6.0	false
mct_patch_notes_124_notes	- prevent trait removal event spam	false
mct_patch_notes_124_version	v1.5.2	false
mct_patch_notes_123_notes	- fix to anti lighting strike	false
mct_patch_notes_123_version	v1.5.1	false
mct_patch_notes_122_notes	- Einheitenverbesserungen für elfische Einheiten sind drin	false
mct_patch_notes_122_version	v1.5.0	false
mct_patch_notes_121_notes	- code cleanups	false
mct_patch_notes_121_version	v1.4.6	false
mct_patch_notes_120_notes	- fixes name loss when assigned a pirate coast "government position"	false
mct_patch_notes_120_version	v1.4.5	false
mct_patch_notes_119_notes	- fixes to battle resources\\n- code optimizations	false
mct_patch_notes_119_version	v1.4.4	false
mct_patch_notes_118_notes	- fixed a case where the unit upgrade panel would not show after clicking the button	false
mct_patch_notes_118_version	v1.4.3	false
mct_patch_notes_117_notes	- fixed a case where the unit upgrade panel would not show after clicking the button	false
mct_patch_notes_117_version	v1.4.2	false
mct_patch_notes_116_notes	- added hints for unit usage	false
mct_patch_notes_116_version	v1.4.1	false
mct_patch_notes_115_notes	- make unit blessings for waaagh animals work\\n- rebalancing buildings of horde	false
mct_patch_notes_115_version	v1.4.0	false
mct_patch_notes_114_notes	- fixes for unit set not encompassing everything required	false
mct_patch_notes_114_version	v1.3.5	false
mct_patch_notes_113_notes	- fixes for unit set not encompassing everything required	false
mct_patch_notes_113_version	v1.3.4	false
mct_patch_notes_112_notes	- fixes for unit set not encompassing everything required	false
mct_patch_notes_112_version	v1.3.3	false
mct_patch_notes_111_notes	- fixed detection of character initiatives	false
mct_patch_notes_111_version	v1.3.2	false
mct_patch_notes_110_notes	- fix a crash reason	false
mct_patch_notes_110_version	v1.3.1	false
mct_patch_notes_109_notes	- major rewrite for performance	false
mct_patch_notes_109_version	v1.3.0	false
mct_patch_notes_108_notes	- fix version number	false
mct_patch_notes_108_version	v1.2.2	false
mct_patch_notes_107_notes	- fixing antitrait handling	false
mct_patch_notes_107_version	v1.2.1	false
mct_patch_notes_106_notes	- icon on settlement when chapels are available\\n- a lot of code cleanups\\n- devotion system improvements with god jealousy	false
mct_patch_notes_106_version	v1.2.0	false
mct_patch_notes_105_notes	- fixes to the resources being misplaced in the UI	false
mct_patch_notes_105_version	v1.1.18	false
mct_patch_notes_104_notes	- yet another settlement ui fix	false
mct_patch_notes_104_version	v1.1.17	false
mct_patch_notes_103_notes	- fixing button handling in settlement view	false
mct_patch_notes_103_version	v1.1.16	false
mct_patch_notes_102_notes	- fix item status storing/retrieving to prevent multiple sets from being gained	false
mct_patch_notes_102_version	v1.1.15	false
mct_patch_notes_101_notes	- fix auto-equipping unique items	false
mct_patch_notes_101_version	v1.1.14	false
mct_patch_notes_100_notes	- proper lord and office titles displayed during recruitment\\n- preventing dual spawning(hopefully)	false
mct_patch_notes_100_version	v1.1.13	false
mct_patch_notes_99_notes	- fixing two cases of dilemmas triggering for the wrong faction(s)	false
mct_patch_notes_99_version	v1.1.12	false
mct_patch_notes_98_notes	- fixing one more thing in item giving	false
mct_patch_notes_98_version	v1.1.11	false
mct_patch_notes_97_notes	- recruiting script fixes\\n- ui fixes\\n- item script fixes	false
mct_patch_notes_97_version	v1.1.10	false
mct_patch_notes_96_notes	- fixing item giving code	false
mct_patch_notes_96_version	v1.1.9	false
mct_patch_notes_95_notes	- some tidy up tasks	false
mct_patch_notes_95_version	v1.1.8	false
mct_patch_notes_94_notes	- fix settings in multiplayer popping up for the wrong player	false
mct_patch_notes_94_version	v1.1.7	false
mct_patch_notes_93_notes	- fix version number	false
mct_patch_notes_93_version	v1.1.6	false
mct_patch_notes_92_notes	- prevent npc factions from getting location and story events	false
mct_patch_notes_92_version	v1.1.5	false
mct_patch_notes_91_notes	- fixes to item gaining	false
mct_patch_notes_91_version	v1.1.4	false
mct_patch_notes_90_notes	- ui fixes	false
mct_patch_notes_90_version	v1.1.3	false
mct_patch_notes_89_notes	- version number increment	false
mct_patch_notes_89_version	v1.1.2	false
mct_patch_notes_88_notes	- small script fixes	false
mct_patch_notes_88_version	v1.1.1	false
mct_patch_notes_87_notes	- refactoring\\n- devotion unlocked\\n- major improvements to general\\n- adding animal waaagh mechanic to general	false
mct_patch_notes_87_version	v1.1.0	false
