key	text	tooltip
#Loc;1;text/db/idrinth_mct__.loc		
mct_idrinth_title	Idrinth Thalui - El Maestro del Saber Vampiro Alto Elfo	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	The Tale of a Fallen Loremaster\\n\\nOnce a respected High Elven Loremaster, Idrinth Thalui met his mortal end during the bloody Vampire Wars, only to rise again as one of the very creatures he fought against. Now this Knight-Scholar walks a precarious path between his elven heritage and vampiric curse, seeking purpose in a world torn by Chaos.\\n\\nWill you guide him toward redemption or embrace the darkness within? His fate rests in your hands.	false
mct_idrinth_expanded_spawn_text	Culturas de Aparición Expandidas	false
mct_idrinth_expanded_spawn_tooltip	Permite que Idrinth aparezca también para Bretonia, Cathay, las Legiones de Nagash, Elfos Oscuros y Costa Vampírica.	false
mct_idrinth_level_adjustment_text	Requisito de Nivel	false
mct_idrinth_level_adjustment_options_null_text	Juego Temprano	false
mct_idrinth_level_adjustment_options_one_text	Final del Juego Temprano	false
mct_idrinth_level_adjustment_options_three_text	Inicio del Juego Medio	false
mct_idrinth_level_adjustment_options_six_text	Juego Medio	false
mct_idrinth_level_adjustment_tooltip	Modifica el requisito de nivel para obtener la misión de desbloqueo de Idrinth.	false
mct_idrinth_god_item_difficulty_text	Dificultad de Objetos Bendecidos por Dioses	false
mct_idrinth_god_item_difficulty_options_low_text	Requisitos Bajos	false
mct_idrinth_god_item_difficulty_options_normal_text	Requisitos Normales	false
mct_idrinth_god_item_difficulty_options_high_text	Requisitos Altos	false
mct_idrinth_god_item_difficulty_tooltip	Modifica los requisitos para recibir los objetos bendecidos por los dioses.	false
mct_idrinth_chapel_chance_text	Probabilidad de Aparición de Capillas	false
mct_idrinth_chapel_chance_options_low_text	Probabilidad Baja	false
mct_idrinth_chapel_chance_options_normal_text	Probabilidad Normal	false
mct_idrinth_chapel_chance_options_high_text	Probabilidad Alta	false
mct_idrinth_chapel_chance_tooltip	Modifica la probabilidad de que las Capillas Thaluianas aparezcan por la presencia de Idrinth.	false
mct_idrinth_story_events_text	Activar Eventos de Historia	false
mct_idrinth_story_events_tooltip	Permite que Idrinth notifique al jugador cuando alcanza regiones específicas importantes para él.	false
mct_idrinth_chapels_text	Capillas Thaluianas	false
mct_idrinth_chapels_tooltip	Permite que Idrinth funde capillas que fortalecen las defensas de las ciudades y afectan la generación de favor divino.	false
mct_idrinth_dilemma_cooldown_text	Tiempo de Espera de Dilemas	false
mct_idrinth_dilemma_cooldown_options_low_text	Bajo (1 + [1-2])	false
mct_idrinth_dilemma_cooldown_options_medium_text	Medio (2 + [1-3])	false
