key	text	tooltip
#Loc;1;text/db/idrinth_agent_actions__.loc
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	[[col:yellow]]Accroît le gain d'expérience de %n% pour les unités servant en l'ost paternel.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	[[col:yellow]]Occit le [[img:icon_hero]][[/img]]Preux ciblé.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	[[col:yellow]]Inflige dommages à toutes les unités de l'ost ciblé.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	[[col:yellow]]Accroît la [[img:icon_corruption_vmp]][[/img]]corruption vampirique de %n en la province locale.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	{{tr:agent_action_name_spread_corruption}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	{{tr:agent_action_name_training}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	{{tr:agent_action_name_assassinate}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	{{tr:agent_action_name_assault_units}}	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	{{tr:agent_action_name_stimulate_growth}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	Amoindrit la [[img:icon_growth]][[/img]]croissance	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	[[col:yellow]]Accroît l'[[img:icon_public_order]][[/img]]Ordre publique de %n en la province locale.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	Accroît l'[[img:icon_public_order]][[/img]]Ordre publique	false

