key	text	tooltip
#Loc;1;text/db/idrinth_mct__.loc		
mct_idrinth_title	Idrinth Thalui - Le Maître du Savoir Vampire Haut-Elfe	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	The Tale of a Fallen Loremaster\\n\\nOnce a respected High Elven Loremaster, Idrinth Thalui met his mortal end during the bloody Vampire Wars, only to rise again as one of the very creatures he fought against. Now this Knight-Scholar walks a precarious path between his elven heritage and vampiric curse, seeking purpose in a world torn by Chaos.\\n\\nWill you guide him toward redemption or embrace the darkness within? His fate rests in your hands.	false
mct_idrinth_expanded_spawn_text	Cultures d'Apparition Étendues	false
mct_idrinth_expanded_spawn_tooltip	Permet à Idrinth d'apparaître également pour la Bretonnie, Cathay, les Légions de Nagash, les Elfes Noirs et la Côte des Vampires.	false
mct_idrinth_level_adjustment_text	Niveau Requis	false
mct_idrinth_level_adjustment_options_null_text	Début de Partie	false
mct_idrinth_level_adjustment_options_one_text	Fin du Début de Partie	false
mct_idrinth_level_adjustment_options_three_text	Début du Milieu de Partie	false
mct_idrinth_level_adjustment_options_six_text	Milieu de Partie	false
mct_idrinth_level_adjustment_tooltip	Modifie le niveau requis pour obtenir la quête de déverrouillage d'Idrinth.	false
mct_idrinth_god_item_difficulty_text	Difficulté des Objets Bénis par les Dieux	false
mct_idrinth_god_item_difficulty_options_low_text	Exigences Basses	false
mct_idrinth_god_item_difficulty_options_normal_text	Exigences Normales	false
mct_idrinth_god_item_difficulty_options_high_text	Exigences Élevées	false
mct_idrinth_god_item_difficulty_tooltip	Modifie les exigences pour recevoir les objets bénis par les dieux.	false
mct_idrinth_chapel_chance_text	Chance d'Apparition des Chapelles	false
mct_idrinth_chapel_chance_options_low_text	Chance Basse	false
mct_idrinth_chapel_chance_options_normal_text	Chance Normale	false
mct_idrinth_chapel_chance_options_high_text	Chance Élevée	false
mct_idrinth_chapel_chance_tooltip	Modifie la chance que des Chapelles Thaluiennes apparaissent grâce à la présence d'Idrinth.	false
mct_idrinth_story_events_text	Activer les Événements d'Histoire	false
mct_idrinth_story_events_tooltip	Permet à Idrinth de notifier le joueur lorsqu'il atteint des régions spécifiques importantes pour lui.	false
mct_idrinth_chapels_text	Chapelles Thaluiennes	false
mct_idrinth_chapels_tooltip	Permet à Idrinth de fonder des chapelles qui renforcent les défenses des villes et affectent la génération de faveur divine.	false
mct_idrinth_dilemma_cooldown_text	Temps de Recharge des Dilemmes	false
mct_idrinth_dilemma_cooldown_options_low_text	Court (1 + [1-2])	false
mct_idrinth_dilemma_cooldown_options_medium_text	Moyen (2 + [1-3])	false
mct_idrinth_dilemma_cooldown_options_long_text	Long (3 + [1-4])	false
mct_idrinth_dilemma_cooldown_tooltip	Modifie le temps de recharge entre les dilemmes nécessitant des décisions.	false
mct_idrinth_names_text	Renommage des Unités	false
mct_idrinth_names_tooltip	Lorsque coché, les unités reçoivent un nom personnalisé lors du recrutement, tiré d'une liste de noms elfiques.	false
mct_idrinth_logging_text	Activer la Journalisation Propre	false
mct_idrinth_logging_tooltip	Lorsque coché, ce mod enregistre dans le répertoire racine du jeu sous idrinth.*.log.	false
mct_idrinth_base_logging_text	Activer l'Utilisation de la Journalisation du Jeu de Base	false
mct_idrinth_base_logging_tooltip	Lorsque coché, ce mod utilise la fonction de journalisation du jeu de base.	false
mct_idrinth_section_idrinth_features_name	Options de Fonctionnalités	false
mct_idrinth_section_idrinth_chances_name	Chances	false
mct_idrinth_section_idrinth_spawn_name	Options d'Apparition	false
