key	text	tooltip
#Loc;1;text/db/idrinth_character_skills__.loc
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Addestramento dell'Esercito	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Assassinio	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Assalto alle Unità	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Specialista	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Valore delle Ere	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Velocità di Asuryan	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Protezione di Hoeth	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Protezione di Loec	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Colpo Colossale	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Maestro della Lama	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Difficile da Colpire	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Convinzione	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Fervore	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Inviolabile	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Tenacia	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Evasione	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Messa a Terra	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Drenaggio di Potere	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Condotto Arcano	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Volontà Immortale	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Invocazione di Nehek	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Danza Macabra di Vanhel	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Sguardo di Nagash	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Maledizione degli Anni	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Vento di Morte	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_trainingfalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinatefalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_unitsfalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_costfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_agesfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryanfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoethfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loecfalse
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strikefalse
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_masterfalse
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hitfalse
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_convictionfalse
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervourfalse
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasionfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthingfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drainfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduitfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_willfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehekfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabrefalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagashfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_yearsfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_deathfalse
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	Quando viene lanciato, questo incantesimo indebolisce le menti nemiche; sentono il peso schiacciante della realtà premere su di loro.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	L'incantatore tesse una nebbia confondente che intorpidisce e inganna i nemici, facendoli inciampare e barcollare.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	L'incantatore apre un vortice che conduce nell'Abisso. Qualsiasi cosa venga catturata al suo interno sarà perduta per sempre.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_the_withering	Il Mago distrugge i nemici dall'interno, corrodendo le loro menti con dubbi e crisi.	false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_01_spirit_leechfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_04_soulblightfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_05_doom_and_darknessfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjunafalse
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	Il Nemico Indebolito	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	Miasma Mistificante di Melkoth	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	Pozzo delle Ombre	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_the_withering	L'Appassimento	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_01_spirit_leech	Sanguisuga Spirituale	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_04_soulblight	Flagello dell'Anima	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	Fato e Oscurità	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	Il Fato di Bjuna	false
character_skills_localised_name_idrinth_skill_magic_weapon_master	Maestro di Lama, Arco e Magia	false
character_skills_localised_description_idrinth_skill_magic_weapon_master	Se può essere lanciato, scoccato o fenduto, questo ha padroneggiato tutto ciò che ha deciso di imparare.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	Cos'è un ranger senza una freccia? Chi può essere il migliore senza dozzine?	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	Un ranger non dovrebbe dare tregua al nemico. Le frecce devono cadere come un diluvio, letali come fulmini.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	Che ogni dardo sia imbevuto della forza di Kurnous, e porti morte a tutti i suoi nemici.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	Quando la freccia vola più lontano, può uccidere prima, il che è vitale nella Caccia.	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	Faretra della Natura	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	Pioggia di Spine	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	Dardi della Foresta	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	Freccia di Kurnous	false
character_skills_localised_description_idrinth_loremaster_lore_of_death	Questo mago ha assistito e causato la morte così spesso, che è legato al vento di essa.	false
character_skills_localised_name_idrinth_loremaster_lore_of_death	Maestro della Sapienza: Morte	false
character_skills_localised_description_idrinth_loremaster_lore_of_shadows	Questo mago è un maestro nel gioco delle ombre.	false
character_skills_localised_name_idrinth_loremaster_lore_of_shadows	Maestro della Sapienza: Ombre	false
character_skills_localised_description_idrinth_loremaster_lore_of_vampires	Questo mago ha padroneggiato completamente la negromanzia.	false
character_skills_localised_name_idrinth_loremaster_lore_of_vampires	Maestro della Sapienza: Vampiri	false
character_skills_localised_name_idrinth_diplomat_high_elves	Parentela attraverso le Ere	false
character_skills_localised_name_idrinth_diplomat_wood_elves	Parenti della Caccia	false
character_skills_localised_name_idrinth_diplomat_dark_elves	Parenti Maledetti	false
character_skills_localised_name_idrinth_diplomat_vampire_coast	Parenti di Sangue e Sale	false
character_skills_localised_name_idrinth_diplomat_vampire_counts	Consanguinei	false
character_skills_localised_name_idrinth_diplomat_bretonnia	Onore e Voti	false
character_skills_localised_name_idrinth_diplomat_norsca	La Forza Fa il Diritto	false
character_skills_localised_name_idrinth_diplomat_kislev	Freddo Amaro	false
character_skills_localised_name_idrinth_diplomat_cathay	Piani di Equilibrio	false
character_skills_localised_name_idrinth_diplomat_empire	Per il Futuro dell'Umanità	false
character_skills_localised_name_idrinth_diplomat_lizardmen	Piani Squamosi	false
character_skills_localised_name_idrinth_diplomat_dwarves	Antichi Giuramenti	false
character_skills_localised_name_idrinth_ranger_knowledge	Conoscenza dei Ranger	false
