key	text	tooltip
#Loc;1;text/db/idrinth_mct__.loc		
mct_idrinth_title	Idrinth Thalui - Il Maestro della Sapienza Vampiro Alto Elfo	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	The Tale of a Fallen Loremaster\\n\\nOnce a respected High Elven Loremaster, Idrinth Thalui met his mortal end during the bloody Vampire Wars, only to rise again as one of the very creatures he fought against. Now this Knight-Scholar walks a precarious path between his elven heritage and vampiric curse, seeking purpose in a world torn by Chaos.\\n\\nWill you guide him toward redemption or embrace the darkness within? His fate rests in your hands.	false
mct_idrinth_expanded_spawn_text	Culture di Spawn Espanse	false
mct_idrinth_expanded_spawn_tooltip	Permette a Idrinth di apparire anche per Bretonnia, Cathay, le Legioni di Nagash, Elfi Oscuri e Costa dei Vampiri.	false
mct_idrinth_level_adjustment_text	Requisito di Livello	false
mct_idrinth_level_adjustment_options_null_text	Inizio Partita	false
mct_idrinth_level_adjustment_options_one_text	Fine Inizio Partita	false
mct_idrinth_level_adjustment_options_three_text	Inizio Metà Partita	false
mct_idrinth_level_adjustment_options_six_text	Metà Partita	false
mct_idrinth_level_adjustment_tooltip	Modifica il requisito di livello per ottenere la missione di sblocco di Idrinth.	false
mct_idrinth_god_item_difficulty_text	Difficoltà Oggetti Benedetti dagli Dei	false
mct_idrinth_god_item_difficulty_options_low_text	Requisiti Bassi	false
mct_idrinth_god_item_difficulty_options_normal_text	Requisiti Normali	false
mct_idrinth_god_item_difficulty_options_high_text	Requisiti Alti	false
mct_idrinth_god_item_difficulty_tooltip	Modifica i requisiti per ricevere gli oggetti benedetti dagli dei.	false
mct_idrinth_chapel_chance_text	Probabilità Spawn Cappella	false
mct_idrinth_chapel_chance_options_low_text	Probabilità Bassa	false
mct_idrinth_chapel_chance_options_normal_text	Probabilità Normale	false
mct_idrinth_chapel_chance_options_high_text	Probabilità Alta	false
mct_idrinth_chapel_chance_tooltip	Modifica la probabilità che le Cappelle Thaluiane vengano generate dalla presenza di Idrinth.	false
