unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/idrinth_nagash	
idrinth_hev_high_elf_vampires_idrinthchampion	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_mixed	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_asuryan	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_khaine	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_kurnous	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_khaine_leader	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_shrine	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_wolves	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_great_eagle	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_hawks	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_outriders	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	mixer_nag_nagash
idrinth_hev_high_elf_vampires_idrinthgeneral	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_stone_wolves	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_cave_bats	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_asuryan_large	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_khaine_large	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_kurnous_large	mixer_nag_nagash
idrinth_hev_high_elf_vampires_chapel_outriders_large	mixer_nag_nagash
