key	text	tooltip
#Loc;1;text/db/idrinth_agent_actions__.loc		
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	[[col:yellow]]Zwiększa zdobywanie doświadczenia o %n% dla jednostek służących w armii macierzystej.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	[[col:yellow]]Zabija docelowego [[img:icon_hero]][[/img]]Bohatera.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	[[col:yellow]]Zadaje obrażenia wszystkim jednostkom w docelowej armii.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	[[col:yellow]]Zwiększa ilość [[img:icon_corruption_vmp]][[/img]]Wampirzej korupcji w lokalnej prowincji o %n.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	{{tr:agent_action_name_spread_corruption}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	{{tr:agent_action_name_training}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	{{tr:agent_action_name_assassinate}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	{{tr:agent_action_name_assault_units}}	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	{{tr:agent_action_name_stimulate_growth}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	Zmniejsza [[img:icon_growth]][[/img]]wzrost	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	[[col:yellow]]Zwiększa ilość [[img:icon_public_order]][[/img]]Porządku publicznego w lokalnej prowincji o %n.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	Zwiększa [[img:icon_public_order]][[/img]]Porządek publiczny	false
