key	text	tooltip
#Loc;1;text/db/idrinth_character_skills__.loc
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Szkolenie Armii	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Zabójstwo	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Atak na Jednostki	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Specjalista	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Męstwo Wieków	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Szybkość Asuryana	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Ochrona Hoetha	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Ochrona Loeca	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Kolosalny Cios	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Mistrz Ostrza	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Trudny do Trafienia	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Przekonanie	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Żarliwość	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Nienaruszalny	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Wytrwałość	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Unik	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Uziemienie	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Wysysanie Mocy	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Arkański Przewód	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Nieśmiertelna Wola	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Inwokacja Neheka	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Taniec Śmierci Vanhela	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Spojrzenie Nagasha	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Klątwa Lat	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Wiatr Śmierci	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_trainingfalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinatefalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_unitsfalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_costfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_agesfalse
