key"	"text"	"tooltip"
"#Loc;1;text/db/idrinth_mct__.loc"	""	""
"mct_idrinth_title"	"Idrinth Thalui - Wampirzy Mistrz Wiedzy Wysokich Elfów"	"false"
"mct_idrinth_author"	"Björn 'Idrinth' Büttner"	"false"
"mct_idrinth_description"	"Opowieść o Upadłym Mistrzu Wiedzy\\n\\nNiegdyś szanowany Mistrz Wiedzy Wysokich Elfów, Idrinth Thalui spotkał śmiertelny koniec podczas krwawych Wojen Wampirów, by powstać jako jedno ze stworzeń, z którymi walczył. Teraz ten Rycerz-Uczony kroczy niepewną ścieżką między swoim elfickim dziedzictwem a wampirycznym przekleństwem, szukając celu w świecie rozdzieranym przez Chaos.\\n\\nCzy poprowadzisz go ku odkupieniu, czy przytulisz ciemność w sobie? Jego los spoczywa w twoich rękach.\\n\\nUnikalna Rekrutacja\\n\\nIdrinth może być zrekrutowany jako Lord lub Bohater przez tych, którzy mogą cenić jego dwoistą naturę:\\n- Imperium (poszukujące tajemnej wiedzy)\\n- Kislev (zdesperowani dla potężnych sojuszników)\\n- Wysokie Elfy (pragnące odzyskać jednego ze swoich)\\n- Leśne Elfy (ceniące jego związek z Kurnous)\\n- Hrabiowie Wampirów (obejmujące jego nowo odkrytą moc)\\n\\nLuźniejszy Tryb Lore\\n\\nW luźniejszym trybie lore dodawane są mniej prawdopodobne frakcje, reprezentujące desperackie sojusze:\\n- Bretonnia\\n- Cathay\\n- Mroczne Elfy\\n- Legiony Nagasha (zmodowana Frakcja)\\n- Wybrzeże Wampirów\\n\\nKluczowe Cechy\\n\\nSystem Boskiego Przychylności\\n\\nWyrównaj swoją lojalność między trzema potężnymi elfickimi bóstwami, z których każde oferuje unikalne ścieżki do zjednoczenia rozdartej egzystencji Idrintha:\\n\\nKhaine: Objąć agresję z ulepszoną biegłością w walce wręcz i obrażeniami\\n\\nAsuryan: Szukać równowagi przez ulepszoną obronę i odporność na magię\\n\\nKurnous: Wykorzystać ścieżkę łowcy z przewagą dystansową i mobilnością\\n\\nSystem Kaplic\\n\\nW oparciu o boskie wpływy, Idrinth może zakładać kaplice, które zauważalnie wpływają na rozmiar garnizonu, moc i użycie przychylności bogów, a także przynoszą korzyści lokalnej gospodarce i wzrostowi.\\n\\nJeśli wymagany mod nie jest używany, zagraniczne sloty mogą zachowywać się dziwnie - mod nie jest technicznie wymagany, chyba że grasz frakcją, która już ma zagraniczne sloty.\\n\\nNarracyjne Dylematy\\n\\nStaw czoła krytycznym wyborom, które kształtują charakter Idrintha i określają jego relację z boskim. Czy przytulisz swoje elfickie korzenie, czy poddasz się wampirycznej mocy? Każda decyzja wpływa na twoją boską przychylność i odblokowuje stałe bonusy.\\n\\nZestawy Boskich Artefaktów\\n\\nZbieraj i wyposażaj potężne artefakty dostosowane do bogów, które wzmacniają umiejętności Idrintha. Ukończ zestaw, aby zdobyć specjalne bonusy, które uzupełniają twoją wybraną boską ścieżkę.\\n\\nKonsekwencje Elfiego Zabójcy\\n\\nDynamiczny system cech, który śledzi twoje bitwy przeciwko elfickim frakcjom. Im więcej elfów zabijesz, tym bardziej będziesz znany, pogardzany, a ostatecznie znienawidzony wśród ich rodzaju, z poważnymi konsekwencjami dyplomatycznymi i boskiej przychylności.\\n\\nTajna Wszechstronność\\n\\nOpanuj zaklęcia z wielu magicznych tradycji, odzwierciedlając naukowe pochodzenie Idrintha i wampiryczną przemianę:\\n- Wiedza Wampirów\\n- Wiedza Śmierci\\n- Wiedza Cieni\\n\\nNiestandardowa Frakcja Bitwy\\n\\nGraj siłami kaplicy jako ich własną frakcją w niestandardowych bitwach, zarówno dla pojedynczego gracza, jak i multiplayer.\\n\\nZwierzęcy WAAAGH\\n\\nGenerał gromadzi wokół siebie menażerię sprzymierzonych zwierząt, tworząc waaagh z błogosławionych zwierząt.\\n\\nWERSJA ALPHA UWAGA\\n\\nTen mod jest w WCZESNEJ ALPHA rozwoju. Możesz napotkać:\\n\\n- Niektóre przyciski w armii mogą nie działać\\n- Niektóre zmiany UI wymagają sekundy do zastosowania\\n- Trwające dostosowania równowagi\\n- System modlitwy tymczasowo zastąpiony losowym wyzwalaniem boskich interwencji\\n\\nTwoja opinia jest niezbędna dla poprawy! Proszę zgłaszać wszelkie napotkane problemy.\\n\\nUwaga dotycząca kompatybilności:\\n\\nNiestandardowa frakcja Nagasha jest teoretycznie wspierana. Wsparcie wymaga jednak testowania w grze, jeśli znajdziesz błędy, zgłoś je tutaj i nie zawracaj głowy innemu modowi!\\n\\nKonfiguracja\\n\\nNarzędzie konfiguracji modu jest obsługiwane, ale opcjonalne.\\n\\nAI w tym modzie\\n\\nObecnie w modzie znajdują się niektóre obrazy generowane przez AI. Są one zastępowane przez odpowiednią sztukę z czasem, gdy tożsamość i wygląd jednostki będą ostateczne."	"false"
"mct_idrinth_expanded_spawn_text"	"Rozszerzone Kultury Pojawienia"	"false"
"mct_idrinth_expanded_spawn_tooltip"	"Pozwala Idrinthowi pojawić się również dla Bretonnii, Cathay, Legionów Nagasha, Mrocznych Elfów i Wybrzeża Wampirów."	"false"
"mct_idrinth_level_adjustment_text"	"Wymaganie Poziomu"	"false"
"mct_idrinth_level_adjustment_options_null_text"	"Wczesna Gra"	"false"
"mct_idrinth_level_adjustment_options_one_text"	"Późna Wczesna Gra"	"false"
"mct_idrinth_level_adjustment_options_three_text"	"Wczesna Średnia Gra"	"false"
"mct_idrinth_level_adjustment_options_six_text"	"Średnia Gra"	"false"
"mct_idrinth_level_adjustment_tooltip"	"Modyfikuje wymaganie poziomu, aby otrzymać zadanie odblokowania Idrintha."	"false"
