key	text	tooltip
#Loc;1;text/db/idrinth_agent_actions__.loc
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	[[col:yellow]]Увеличивает получение опыта на %n% для отрядов родительской армии.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	[[col:yellow]]Убивает целевого [[img:icon_hero]][[/img]]Героя.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	[[col:yellow]]Наносит урон всем отрядам целевой армии.[[/col]]	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	[[col:yellow]]Увеличивает уровень [[img:icon_corruption_vmp]][[/img]]Вампирской порчи в местной провинции на %n.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_spread_corruption_vmp	{{tr:agent_action_name_spread_corruption}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_assist_army_training	{{tr:agent_action_name_training}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_agent_assassinate	{{tr:agent_action_name_assassinate}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_hinder_army_assault_units	{{tr:agent_action_name_assault_units}}	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	{{tr:agent_action_name_stimulate_growth}}	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_stimulate_growth	Снижает [[img:icon_growth]][[/img]]рост	false
agent_actions_localised_action_description_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	[[col:yellow]]Увеличивает уровень [[img:icon_public_order]][[/img]]Общественного порядка в местной провинции на %n.[[/col]]	false
agent_actions_localised_action_name_idrinth_hev_high_elf_vampires_idrinth_passive_spread_public_order	Увеличивает [[img:icon_public_order]][[/img]]Общественный порядок	false

