key	text	tooltip
#Loc;1;text/db/idrinth_character_skills__.loc
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Обучение Армии	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Убийство	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Атака Отрядов	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Специалист	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Доблесть Веков	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Скорость Асуриана	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Защита Хоэта	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Защита Лоэка	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Колоссальный Удар	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Мастер Клинка	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Трудная Мишень	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Убеждённость	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Рвение	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Неприкосновенность	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Стойкость	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Уклонение	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Заземление	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Откачка Силы	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Магический Канал	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Бессмертная Воля	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Призыв Нехека	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Пляска Смерти Ван Хела	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Взгляд Нагаша	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Проклятие Годов	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Ветер Смерти	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_trainingfalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinatefalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_unitsfalse
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_costfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_agesfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryanfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoethfalse
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loecfalse
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strikefalse
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_masterfalse
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hitfalse
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_convictionfalse
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervourfalse
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasionfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthingfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drainfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduitfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_willfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehekfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabrefalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagashfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_yearsfalse
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_deathfalse
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	При применении это заклинание ослабляет разум врагов; они чувствуют, как тяжёлый груз реальности давит на них.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	Заклинатель создаёт сбивающий с толку туман, который оглушает и дезориентирует врагов, заставляя их спотыкаться и шататься.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	Заклинатель открывает вихрь, ведущий в Бездну. Всё, что попадёт в него, будет потеряно навсегда.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_the_withering	Маг уничтожает врагов изнутри, разъедая их разум сомнениями и кризисом.	false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_01_spirit_leechfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_04_soulblightfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_05_doom_and_darknessfalse
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjunafalse
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	Ослабляющий Враг	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	Мистифицирующая Миазма Мелькота	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	Яма Теней	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_the_withering	Увядание	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_01_spirit_leech	Пиявка Духа	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_04_soulblight	Порча Душ	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	Рок и Тьма	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	Судьба Бьюны	false
character_skills_localised_name_idrinth_skill_magic_weapon_master	Мастер Клинка, Лука и Магии	false
character_skills_localised_description_idrinth_skill_magic_weapon_master	Если этим можно колдовать, стрелять или рубить — этот персонаж освоил всё, что решил изучить.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	Что за следопыт без стрелы? Кто может быть лучшим без десятков?	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	Следопыт не должен давать передышки врагу. Стрелы должны падать как потоп, смертоносные как молния.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	Пусть каждый болт будет наполнен силой Курноуса и несёт смерть всем его врагам.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	Когда стрела летит дальше, она может убить раньше, что жизненно важно на Охоте.	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	Nature's Quiver	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	Дождь Шипов	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	Стрелы Леса	false
character_skills_localised_name_idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	Стрела Курноуса	false
character_skills_localised_description_idrinth_loremaster_lore_of_death	Этот маг столь часто был свидетелем и причиной смерти, что связан с её ветром.	false
character_skills_localised_name_idrinth_loremaster_lore_of_death	Мастер Знания: Смерть	false
character_skills_localised_description_idrinth_loremaster_lore_of_shadows	Этот маг — мастер игры теней.	false
character_skills_localised_name_idrinth_loremaster_lore_of_shadows	Мастер Знания: Тени	false
character_skills_localised_description_idrinth_loremaster_lore_of_vampires	Этот маг полностью овладел некромантией.	false
character_skills_localised_name_idrinth_loremaster_lore_of_vampires	Мастер Знания: Вампиры	false
character_skills_localised_name_idrinth_diplomat_high_elves	Родство Сквозь Века	false
character_skills_localised_name_idrinth_diplomat_wood_elves	Hunting Kin	false
character_skills_localised_name_idrinth_diplomat_dark_elves	Проклятое Родство	false
character_skills_localised_name_idrinth_diplomat_vampire_coast	Родство Крови и Соли	false
character_skills_localised_name_idrinth_diplomat_vampire_counts	Кровное Родство	false
character_skills_localised_name_idrinth_diplomat_bretonnia	Честь и Клятвы	false
character_skills_localised_name_idrinth_diplomat_norsca	Сила Создаёт Право	false
character_skills_localised_name_idrinth_diplomat_kislev	Горький Холод	false
character_skills_localised_name_idrinth_diplomat_cathay	Планы Равновесия	false
character_skills_localised_name_idrinth_diplomat_empire	Ради Будущего Человечества	false
character_skills_localised_name_idrinth_diplomat_lizardmen	Чешуйчатые Планы	false
character_skills_localised_name_idrinth_diplomat_dwarves	Древние Клятвы	false
character_skills_localised_name_idrinth_ranger_knowledge	Знания Следопытов	false
character_skills_localised_name_idrinth_blade_dancing	Танец Клинков	false
character_skills_localised_name_idrinth_unusual_training	Необычная Подготовка	false
character_skills_localised_name_idrinth_running_wild	Дикий Бег	false
character_skills_localised_name_idrinth_veterans	Эльфийские Ветераны	false
character_skills_localised_name_idrinth_strong_as_stone	Крепкий как Камень	false
character_skills_localised_name_idrinth_beasts_of_nature	Звери Природы	false
character_skills_localised_description_idrinth_ranger_knowledgefalse
character_skills_localised_description_idrinth_blade_dancingfalse
character_skills_localised_description_idrinth_unusual_trainingfalse
character_skills_localised_description_idrinth_running_wildfalse
character_skills_localised_description_idrinth_veteransfalse
character_skills_localised_description_idrinth_strong_as_stonefalse
