key	text	tooltip
#Loc;1;text/db/idrinth_mct__.loc		
mct_idrinth_title	Idrinth Thalui - Yüksek Elf Vampir Bilge Ustası	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	The Tale of a Fallen Loremaster\\n\\nOnce a respected High Elven Loremaster, Idrinth Thalui met his mortal end during the bloody Vampire Wars, only to rise again as one of the very creatures he fought against. Now this Knight-Scholar walks a precarious path between his elven heritage and vampiric curse, seeking purpose in a world torn by Chaos.\\n\\nWill you guide him toward redemption or embrace the darkness within? His fate rests in your hands.	false
mct_idrinth_expanded_spawn_text	Genişletilmiş Doğma Kültürleri	false
mct_idrinth_expanded_spawn_tooltip	Idrinth'in Bretonnia, Cathay, Nagash Lejyonları, Karanlık Elfler ve Vampir Sahili için de doğmasına izin verir.	false
mct_idrinth_level_adjustment_text	Seviye Gereksinimi	false
mct_idrinth_level_adjustment_options_null_text	Erken Oyun	false
mct_idrinth_level_adjustment_options_one_text	Geç Erken Oyun	false
mct_idrinth_level_adjustment_options_three_text	Erken Orta Oyun	false
mct_idrinth_level_adjustment_options_six_text	Orta Oyun	false
mct_idrinth_level_adjustment_tooltip	Idrinth'in kilit açma görevini almak için seviye gereksinimini değiştirir.	false
mct_idrinth_god_item_difficulty_text	Tanrı Kutsanmış Eşya Zorluğu	false
mct_idrinth_god_item_difficulty_options_low_text	Düşük Gereksinimler	false
mct_idrinth_god_item_difficulty_options_normal_text	Normal Gereksinimler	false
mct_idrinth_god_item_difficulty_options_high_text	Yüksek Gereksinimler	false
mct_idrinth_god_item_difficulty_tooltip	Tanrı kutsanmış eşyaları almak için gereksinimleri değiştirir.	false
mct_idrinth_chapel_chance_text	Şapel Doğma Şansı	false
mct_idrinth_chapel_chance_options_low_text	Düşük Şans	false
mct_idrinth_chapel_chance_options_normal_text	Normal Şans	false
mct_idrinth_chapel_chance_options_high_text	Yüksek Şans	false
mct_idrinth_chapel_chance_tooltip	Idrinth'in varlığı tarafından Thalui Şapellerinin doğma şansını değiştirir.	false
