id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/idrinth			
982344234	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_mixed
982344235	24	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan
982344236	24	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous
982344237	24	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine
982344238	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_asuryan
982344239	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_kurnous
982344240	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_khaine
982344241	24	idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
982344242	24	idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
982344243	24	idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_chapel_khaine_leader
982344244	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
982344245	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
982344246	23	idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_chapel_khaine_leader
982344247	25	idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
982344248	25	idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
982344249	25	idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_chapel_khaine_leader
982344250	20	idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_chapel_beast_small
982344251	21	idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_hev_high_elf_vampires_chapel_beast_medium
982344252	22	idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_hev_high_elf_vampires_chapel_beast_large
982344253	23	idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_chapel_altar
982344254	21	idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_hev_high_elf_vampires_chapel_beast_medium
982344255	20	idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_chapel_beast_medium
982344256	20	idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_chapel_beast_large
982344257	21	idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_hev_high_elf_vampires_chapel_beast_large
982344258	21	idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_hev_high_elf_vampires_chapel_beast_large
982344259	21	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders_small
982344260	21	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders_medium
982344261	21	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders_medium
982344262	21	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders_large
982344263	21	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders_large
982344264	21	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders_large
982344265	21	idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_chapel_stone_wolves
