character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/idrinth	
wh_main_anc_enchanted_item_healing_potion	idrinth_hev_high_elf_vampires_idrinthchampion
wh_main_anc_arcane_item_power_stone	idrinth_hev_high_elf_vampires_idrinthchampion
wh_main_anc_enchanted_item_cloak_of_mists_and_shadows	idrinth_hev_high_elf_vampires_idrinthchampion
wh_main_anc_arcane_item_tricksters_shard	idrinth_hev_high_elf_vampires_idrinthchampion
wh_main_anc_arcane_item_book_of_ashur	idrinth_hev_high_elf_vampires_idrinthchampion
wh2_main_anc_enchanted_item_talisman_of_loec	idrinth_hev_high_elf_vampires_idrinthchampion
wh2_dlc13_anc_weapon_amber_bow	idrinth_hev_high_elf_vampires_idrinthchampion
wh_main_anc_enchanted_item_healing_potion	idrinth_hev_high_elf_vampires_idrinthgeneral
wh_main_anc_arcane_item_power_stone	idrinth_hev_high_elf_vampires_idrinthgeneral
wh_main_anc_enchanted_item_cloak_of_mists_and_shadows	idrinth_hev_high_elf_vampires_idrinthgeneral
wh_main_anc_arcane_item_tricksters_shard	idrinth_hev_high_elf_vampires_idrinthgeneral
wh_main_anc_arcane_item_book_of_ashur	idrinth_hev_high_elf_vampires_idrinthgeneral
wh2_main_anc_enchanted_item_talisman_of_loec	idrinth_hev_high_elf_vampires_idrinthgeneral
wh2_dlc13_anc_weapon_amber_bow	idrinth_hev_high_elf_vampires_idrinthgeneral
