skill	skillset_key	sort_order
#battle_set_piece_armies_characters_skillsets_skills_tables;1;db/battle_set_piece_armies_characters_skillsets_skills_tables/idrinth		
idrinth_wh2_main_skill_all_hero_assist_army_training	idrinth_hev_high_elf_vampires_idrinth	640
idrinth_wh2_main_skill_hef_combat_valour_of_ages	idrinth_hev_high_elf_vampires_idrinth	500
idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	idrinth_hev_high_elf_vampires_idrinth	550
idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	idrinth_hev_high_elf_vampires_idrinth	100
idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	idrinth_hev_high_elf_vampires_idrinth	30
idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	idrinth_hev_high_elf_vampires_idrinth	20
idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	idrinth_hev_high_elf_vampires_idrinth	610
idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	idrinth_hev_high_elf_vampires_idrinth	650
idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	idrinth_hev_high_elf_vampires_idrinth	330
idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	idrinth_hev_high_elf_vampires_idrinth	530
idrinth_wh_main_skill_all_dignitary_self_conviction	idrinth_hev_high_elf_vampires_idrinth	10
idrinth_wh_main_skill_all_dignitary_self_fervour	idrinth_hev_high_elf_vampires_idrinth	20
idrinth_wh_main_skill_all_dignitary_self_inviolable_2	idrinth_hev_high_elf_vampires_idrinth	110
idrinth_wh_main_skill_all_dignitary_self_tenacity_2	idrinth_hev_high_elf_vampires_idrinth	50
idrinth_wh_main_skill_all_magic_all_06_evasion	idrinth_hev_high_elf_vampires_idrinth	100
idrinth_wh_main_skill_all_magic_all_07_earthing	idrinth_hev_high_elf_vampires_idrinth	70
idrinth_wh_main_skill_all_magic_all_08_power_drain	idrinth_hev_high_elf_vampires_idrinth	120
idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	idrinth_hev_high_elf_vampires_idrinth	590
idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	idrinth_hev_high_elf_vampires_idrinth	640
idrinth_wh2_main_skill_all_hero_reduce_action_cost	idrinth_hev_high_elf_vampires_idrinth	660
idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	idrinth_hev_high_elf_vampires_idrinth	450
idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	idrinth_hev_high_elf_vampires_idrinth	490
idrinth_wh2_main_skill_hef_generic_warding_of_loec	idrinth_hev_high_elf_vampires_idrinth	500
idrinth_wh_main_skill_all_all_self_blade_master	idrinth_hev_high_elf_vampires_idrinth	510
idrinth_wh_main_skill_all_all_self_hard_to_hit	idrinth_hev_high_elf_vampires_idrinth	520
