member	campaign
#campaign_group_member_criteria_campaigns_tables;0;db/campaign_group_member_criteria_campaigns_tables/idrinth	
idrinth_hev_high_elf_vampires_idrinth	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_khaine_low	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_khaine_high	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	wh3_main_combi
idrinth_hev_high_elf_vampires_idrinth_general	wh3_main_combi
idrinth_hev_high_elf_vampires_possible_cultures	wh3_main_combi
