member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/idrinth			
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	VALUE	50	1
idrinth_hev_high_elf_vampires_idrinth_khaine_low	VALUE	200	51
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	VALUE	800	201
idrinth_hev_high_elf_vampires_idrinth_khaine_high	VALUE	950	801
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	VALUE	1000	951
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	VALUE	50	1
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	VALUE	200	51
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	VALUE	800	201
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	VALUE	950	801
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	VALUE	1000	951
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	VALUE	50	1
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	VALUE	200	51
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	VALUE	800	201
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	VALUE	950	801
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	VALUE	1000	951
