member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/idrinth	
idrinth_hev_high_elf_vampires_idrinth_khaine_very_low	idrinth_khaine
idrinth_hev_high_elf_vampires_idrinth_khaine_low	idrinth_khaine
idrinth_hev_high_elf_vampires_idrinth_khaine_medium	idrinth_khaine
idrinth_hev_high_elf_vampires_idrinth_khaine_high	idrinth_khaine
idrinth_hev_high_elf_vampires_idrinth_khaine_very_high	idrinth_khaine
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_low	idrinth_kurnous
idrinth_hev_high_elf_vampires_idrinth_kurnous_low	idrinth_kurnous
idrinth_hev_high_elf_vampires_idrinth_kurnous_medium	idrinth_kurnous
idrinth_hev_high_elf_vampires_idrinth_kurnous_high	idrinth_kurnous
idrinth_hev_high_elf_vampires_idrinth_kurnous_very_high	idrinth_kurnous
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_low	idrinth_asuryan
idrinth_hev_high_elf_vampires_idrinth_asuryan_low	idrinth_asuryan
idrinth_hev_high_elf_vampires_idrinth_asuryan_medium	idrinth_asuryan
idrinth_hev_high_elf_vampires_idrinth_asuryan_high	idrinth_asuryan
idrinth_hev_high_elf_vampires_idrinth_asuryan_very_high	idrinth_asuryan
