attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/idrinth	
awakened_forest	idrinth_hev_high_elf_vampires_idrinthchampion
athel_loren	idrinth_hev_high_elf_vampires_idrinthchampion
deep_sea	idrinth_hev_high_elf_vampires_idrinthchampion
non_vampire_territory	idrinth_hev_high_elf_vampires_idrinthchampion
vampire_territory	idrinth_hev_high_elf_vampires_idrinthchampion
mist	idrinth_hev_high_elf_vampires_idrinthchampion
mist_of_yvresse	idrinth_hev_high_elf_vampires_idrinthchampion
nurgle_plague	idrinth_hev_high_elf_vampires_idrinthchampion
plague_nurgle	idrinth_hev_high_elf_vampires_idrinthchampion
disease	idrinth_hev_high_elf_vampires_idrinthchampion
awakened_forest	idrinth_hev_high_elf_vampires_idrinthgeneral
athel_loren	idrinth_hev_high_elf_vampires_idrinthgeneral
deep_sea	idrinth_hev_high_elf_vampires_idrinthgeneral
non_vampire_territory	idrinth_hev_high_elf_vampires_idrinthgeneral
vampire_territory	idrinth_hev_high_elf_vampires_idrinthgeneral
mist	idrinth_hev_high_elf_vampires_idrinthgeneral
mist_of_yvresse	idrinth_hev_high_elf_vampires_idrinthgeneral
nurgle_plague	idrinth_hev_high_elf_vampires_idrinthgeneral
plague_nurgle	idrinth_hev_high_elf_vampires_idrinthgeneral
disease	idrinth_hev_high_elf_vampires_idrinthgeneral
awakened_forest	idrinth_hev_high_elf_vampires_chapel_asuryan
athel_loren	idrinth_hev_high_elf_vampires_chapel_asuryan
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan
vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan
mist	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
awakened_forest	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
athel_loren	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
mist	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
awakened_forest	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
athel_loren	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
nurgle_plague	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
plague_nurgle	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
disease	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
mist	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
awakened_forest	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
athel_loren	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
nurgle_plague	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
plague_nurgle	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
disease	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
mist	idrinth_hev_high_elf_vampires_chapel_cave_bats
awakened_forest	idrinth_hev_high_elf_vampires_chapel_cave_bats
athel_loren	idrinth_hev_high_elf_vampires_chapel_cave_bats
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_cave_bats
vampire_territory	idrinth_hev_high_elf_vampires_chapel_cave_bats
mist	idrinth_hev_high_elf_vampires_chapel_great_eagle
awakened_forest	idrinth_hev_high_elf_vampires_chapel_great_eagle
athel_loren	idrinth_hev_high_elf_vampires_chapel_great_eagle
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_great_eagle
vampire_territory	idrinth_hev_high_elf_vampires_chapel_great_eagle
mist	idrinth_hev_high_elf_vampires_chapel_hawks
awakened_forest	idrinth_hev_high_elf_vampires_chapel_hawks
athel_loren	idrinth_hev_high_elf_vampires_chapel_hawks
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_hawks
vampire_territory	idrinth_hev_high_elf_vampires_chapel_hawks
mist	idrinth_hev_high_elf_vampires_chapel_khaine
awakened_forest	idrinth_hev_high_elf_vampires_chapel_khaine
athel_loren	idrinth_hev_high_elf_vampires_chapel_khaine
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine
vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine
mist	idrinth_hev_high_elf_vampires_chapel_khaine_leader
awakened_forest	idrinth_hev_high_elf_vampires_chapel_khaine_leader
athel_loren	idrinth_hev_high_elf_vampires_chapel_khaine_leader
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_leader
vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_leader
mist	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
awakened_forest	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
athel_loren	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
nurgle_plague	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
plague_nurgle	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
disease	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
mist	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
awakened_forest	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
athel_loren	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
nurgle_plague	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
plague_nurgle	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
disease	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
mist	idrinth_hev_high_elf_vampires_chapel_kurnous
awakened_forest	idrinth_hev_high_elf_vampires_chapel_kurnous
athel_loren	idrinth_hev_high_elf_vampires_chapel_kurnous
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous
vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous
mist	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
awakened_forest	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
athel_loren	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
mist	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
awakened_forest	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
athel_loren	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
nurgle_plague	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
plague_nurgle	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
