stance	culture	subculture	faction	force_type	effect_bundle	resource_cost
#campaign_stance_effects_junctions_tables;1;db/campaign_stance_effects_junctions_tables/idrinth						
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_army_ambush	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT				IDRINTH_HORDE_MAIN	idrinth_hev_vampires_bundle_stance_army_default	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH				IDRINTH_HORDE_MAIN	idrinth_hev_vampires_bundle_stance_army_forced_march	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_army_settlement	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_navy_blockading	
MILITARY_FORCE_SITUATIONAL_STANCE_GARRISON				IDRINTH_HORDE_MAIN	idrinth_hev_vampires_bundle_stance_army_garrisoned	
MILITARY_FORCE_SITUATIONAL_STANCE_BLOCKADE				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_siege	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL				IDRINTH_HORDE_MAIN	idrinth_hev_high_elf_vampires_bundle_stance_patrol	
