id	choice_key	dilemma_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/idrinth					
10000000000	THIRD	idrinth_unlock_choice	TEXT_DISPLAY	LOOKUP[dummy_spawn_idrinth_thalui]	default
10000000001	FIRST	idrinth_unlock_choice	TEXT_DISPLAY	LOOKUP[dummy_spawn_idrinth_thalui]	default
10000000002	THIRD	idrinth_unlock_choice	TREASURY	AMOUNT[-2000]	default
10000000003	FIRST	idrinth_unlock_choice	TREASURY	AMOUNT[-2000]	default
10000000004	SECOND	idrinth_unlock_choice	CHARACTER_EXPERIENCE	AMOUNT[500]	default
10000000005	THIRD	idrinth_unlock_choice	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000006	FIRST	idrinth_unlock_choice	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000007	FIRST	idrinth_dilemma_armour	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000008	SECOND	idrinth_dilemma_armour	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000009	THIRD	idrinth_dilemma_armour	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000010	FIRST	idrinth_dilemma_talisman	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000011	SECOND	idrinth_dilemma_talisman	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000012	THIRD	idrinth_dilemma_talisman	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000013	FIRST	idrinth_dilemma_weapon	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000014	SECOND	idrinth_dilemma_weapon	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000015	THIRD	idrinth_dilemma_weapon	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000016	FIRST	idrinth_dilemma_armour	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_armour_asuryans_destiny]	default
10000000017	SECOND	idrinth_dilemma_armour	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_armour_kurnous_forest_cloak]	default
10000000018	THIRD	idrinth_dilemma_armour	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_armour_khaines_visage]	default
10000000019	FIRST	idrinth_dilemma_talisman	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_talisman_talisman_of_souls]	default
10000000020	SECOND	idrinth_dilemma_talisman	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_talisman_forest_berry_wine]	default
10000000021	THIRD	idrinth_dilemma_talisman	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_talisman_stone_of_dried_blood]	default
10000000022	FIRST	idrinth_dilemma_weapon	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_weapon_asuryans_perfection_sword]	default
10000000023	SECOND	idrinth_dilemma_weapon	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_weapon_kurnous_blessed_hunting_bow]	default
10000000024	THIRD	idrinth_dilemma_weapon	ADD_ANCILLARY	ANCILLARY_KEY[idrinth_anc_weapon_khaines_thirsting_sword]	default
10000000025	FIRST	idrinth_dilemma_empire	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000026	SECOND	idrinth_dilemma_empire	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000027	THIRD	idrinth_dilemma_empire	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000028	FIRST	idrinth_dilemma_high_elves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000029	SECOND	idrinth_dilemma_high_elves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000030	THIRD	idrinth_dilemma_high_elves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000031	FIRST	idrinth_dilemma_kislev	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000032	SECOND	idrinth_dilemma_kislev	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000033	THIRD	idrinth_dilemma_kislev	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000034	FIRST	idrinth_dilemma_vampire_counts	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000035	SECOND	idrinth_dilemma_vampire_counts	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000036	THIRD	idrinth_dilemma_vampire_counts	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000037	FIRST	idrinth_dilemma_wood_elves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000038	SECOND	idrinth_dilemma_wood_elves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000039	THIRD	idrinth_dilemma_wood_elves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000040	FIRST	idrinth_dilemma_dwarves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000041	SECOND	idrinth_dilemma_dwarves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000042	THIRD	idrinth_dilemma_dwarves	CHARACTER_EXPERIENCE	AMOUNT[250]	default
10000000043	FIRST	idrinth_dilemma_empire	EFFECT_BUNDLE	KEY[idrinth_dilemma_empire_FIRST];DURATION[15]	default
10000000044	SECOND	idrinth_dilemma_empire	EFFECT_BUNDLE	KEY[idrinth_dilemma_empire_SECOND];DURATION[15]	default
10000000045	THIRD	idrinth_dilemma_empire	EFFECT_BUNDLE	KEY[idrinth_dilemma_empire_THIRD];DURATION[15]	default
10000000046	FIRST	idrinth_dilemma_high_elves	EFFECT_BUNDLE	KEY[idrinth_dilemma_high_elves_FIRST];DURATION[15]	default
10000000047	SECOND	idrinth_dilemma_high_elves	EFFECT_BUNDLE	KEY[idrinth_dilemma_high_elves_SECOND];DURATION[15]	default
10000000048	THIRD	idrinth_dilemma_high_elves	EFFECT_BUNDLE	KEY[idrinth_dilemma_high_elves_THIRD];DURATION[15]	default
10000000049	FIRST	idrinth_dilemma_kislev	EFFECT_BUNDLE	KEY[idrinth_dilemma_kislev_FIRST];DURATION[15]	default
10000000050	SECOND	idrinth_dilemma_kislev	EFFECT_BUNDLE	KEY[idrinth_dilemma_kislev_SECOND];DURATION[15]	default
10000000051	THIRD	idrinth_dilemma_kislev	EFFECT_BUNDLE	KEY[idrinth_dilemma_kislev_THIRD];DURATION[15]	default
10000000052	FIRST	idrinth_dilemma_vampire_counts	EFFECT_BUNDLE	KEY[idrinth_dilemma_vampire_counts_FIRST];DURATION[15]	default
10000000053	SECOND	idrinth_dilemma_vampire_counts	EFFECT_BUNDLE	KEY[idrinth_dilemma_vampire_counts_SECOND];DURATION[15]	default
10000000054	THIRD	idrinth_dilemma_vampire_counts	EFFECT_BUNDLE	KEY[idrinth_dilemma_vampire_counts_THIRD];DURATION[15]	default
10000000055	FIRST	idrinth_dilemma_wood_elves	EFFECT_BUNDLE	KEY[idrinth_dilemma_wood_elves_FIRST];DURATION[15]	default
10000000056	SECOND	idrinth_dilemma_wood_elves	EFFECT_BUNDLE	KEY[idrinth_dilemma_wood_elves_SECOND];DURATION[15]	default
10000000057	THIRD	idrinth_dilemma_wood_elves	EFFECT_BUNDLE	KEY[idrinth_dilemma_wood_elves_THIRD];DURATION[15]	default
10000000058	FIRST	idrinth_dilemma_dwarves	EFFECT_BUNDLE	KEY[idrinth_dilemma_dwarves_FIRST];DURATION[15]	default
10000000059	SECOND	idrinth_dilemma_dwarves	EFFECT_BUNDLE	KEY[idrinth_dilemma_dwarves_SECOND];DURATION[15]	default
10000000060	THIRD	idrinth_dilemma_dwarves	EFFECT_BUNDLE	KEY[idrinth_dilemma_dwarves_THIRD];DURATION[15]	default
10000000061	FIRST	idrinth_dilemma_lizardmen	EFFECT_BUNDLE	KEY[idrinth_dilemma_lizardmen_FIRST];DURATION[15]	default
10000000062	SECOND	idrinth_dilemma_lizardmen	EFFECT_BUNDLE	KEY[idrinth_dilemma_lizardmen_SECOND];DURATION[15]	default
