issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/idrinth	
CLAN_ELDERS	idrinth_unlock_wh2_main_hef_high_elves
CLAN_ELDERS	idrinth_unlock_wh3_main_ksl_kislev
CLAN_ELDERS	idrinth_unlock_wh_dlc05_wef_wood_elves
CLAN_ELDERS	idrinth_unlock_wh_main_emp_empire
CLAN_ELDERS	idrinth_unlock_wh_main_vmp_vampire_counts
CLAN_ELDERS	idrinth_unlock_wh2_main_def_dark_elves
CLAN_ELDERS	idrinth_unlock_mixer_nag_nagash
CLAN_ELDERS	idrinth_unlock_wh2_dlc11_cst_vampire_coast
CLAN_ELDERS	idrinth_unlock_wh_main_brt_bretonnia
CLAN_ELDERS	idrinth_unlock_wh3_main_cth_cathay
