agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/idrinth			
champion	idrinth_hev_high_elf_vampires	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_dune_kingdoms	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_exiles_of_nehek	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_followers_of_nagash	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_khemri	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_lybaras	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_numas	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_rakaph_dynasty	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_the_sentinels	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tomb_kings	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tomb_kings_rebels	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb1	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb2	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb3	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb4	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb_followers_of_nagash	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb_khemri	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc09_tmb_tombking_qb_lybaras	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc10_def_blood_voyage	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_noctilus	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_noctilus_separatists	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_pirates_of_sartosa	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_pirates_of_sartosa_separatists	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_the_drowned	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_the_drowned_separatists	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_encounters	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_qb1	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_qb2	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_qb3	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_qb4	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_rebellion_rebels	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_rebels	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_cst_vampire_coast_separatists	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_def_the_blessed_dread	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_def_the_blessed_dread_separatists	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_emp_empire_qb5	idrinth_hev_high_elf_vampires_idrinthchampion	false
champion	wh2_dlc11_vmp_the_barrow_legion	idrinth_hev_high_elf_vampires_idrinthchampion	false
