id	treasury_cost	expenditure_type	income_type	expenditure_type_when_regular	income_type_when_regular
#resource_costs_tables;0;db/resource_costs_tables/idrinth					
idrinth_asuryan_small	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_medium	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_large	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_small	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_medium	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_large	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_small	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_medium	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_large	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_switch_devotion_khaine	-500	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_switch_devotion_asuryan	-500	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_switch_devotion_kurnous	-500	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_chapel	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_chapel	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_chapel	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_chapel_2	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_chapel_2	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_chapel_2	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_small_training	-50	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_medium_training	-100	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_small_training	-50	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_medium_training	-100	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_small_training	-50	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_medium_training	-100	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_aspect_cave_bats	-50	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_aspect_cave_bats	-50	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_aspect_cave_bats	-50	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_aspect_wolves	-75	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_aspect_wolves	-75	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_aspect_wolves	-75	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_aspect_hawks	-100	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_aspect_hawks	-100	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_aspect_hawks	-100	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_asuryan_aspect_great_eagle	-125	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_kurnous_aspect_great_eagle	-125	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_khaine_aspect_great_eagle	-125	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_pray_khaine	-500	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_pray_asuryan	-500	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_pray_kurnous	-500	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
idrinth_free	0	PAYLOAD	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
